symbol,bars,min_ts,max_ts,turnover_sum,days_available,coverage_ratio,avg_daily_turnover_usd,days_since_last,is_leveraged,exclude_reasons
COMPUSDT,26208,1672531200000,1696117500000,100345270.18787047,273.0,1.0,367565.0922632618,0.010416655092592592,false,low_turnover
AAVEUSDT,26208,1672531200000,1696117500000,198519066.53013682,273.0,1.0,727176.0678759591,0.010416655092592592,false,""
ALGOUSDT,26208,1672531200000,1696117500000,190402514.99100783,273.0,1.0,697445.1098571715,0.010416655092592592,false,""
ARBUSDT,18379,1679577300000,1696117500000,1241970107.4239812,191.44791666666666,0.70127442002442,4549341.052835096,0.010416655092592592,false,low_coverage
BATUSDT,26208,1672531200000,1696117500000,10682097.271196958,273.0,1.0,39128.56143295589,0.010416655092592592,false,low_turnover
LUNAUSDT,26208,1672531200000,1696117500000,231469028.55901608,273.0,1.0,847871.8994835754,0.010416655092592592,false,""
LTCUSDT,26208,1672531200000,1696117500000,1449810107.7228186,273.0,1.0,5310659.735248419,0.010416655092592592,false,""
GENEUSDT,26208,1672531200000,1696117500000,4184931.5255240058,273.0,1.0,15329.41950741394,0.010416655092592592,false,low_turnover
HVHUSDT,21272,1676973600000,1696117500000,62646256.84415701,221.58333333333331,0.8116605616605617,229473.4682936154,0.010416655092592592,false,"low_coverage,low_turnover"
TONUSDT,26208,1672531200000,1696117500000,169035562.79358348,273.0,1.0,619177.885690782,0.010416655092592592,false,""
SUNUSDT,26208,1672531200000,1696117500000,1374412.0788017227,273.0,1.0,5034.476479127189,0.010416655092592592,false,low_turnover
TENETUSDT,12352,1685001600000,1696117500000,30707736.240225837,128.66666666666666,0.4713064713064713,112482.55033049757,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
XRPUSDT,26208,1672531200000,1696117500000,6537687799.621608,273.0,1.0,23947574.357588306,0.010416655092592592,false,""
DGBUSDT,26208,1672531200000,1696117500000,4306284.696581163,273.0,1.0,15773.93661751342,0.010416655092592592,false,low_turnover
DOGEUSDC,26208,1672531200000,1696117500000,56410048.46820608,273.0,1.0,206630.21416925304,0.010416655092592592,false,low_turnover
ADAUSDT,26208,1672531200000,1696117500000,991354803.634742,273.0,1.0,3631336.2770503373,0.010416655092592592,false,""
APEXUSDT,26208,1672531200000,1696117500000,348058742.3197655,273.0,1.0,1274940.448057749,0.010416655092592592,false,""
ARBUSDC,18380,1679576400000,1696117500000,244978015.89752927,191.45833333333331,0.7013125763125763,897355.3695880193,0.010416655092592592,false,low_coverage
MBXUSDT,17624,1680256800000,1696117500000,20389855.547340028,183.58333333333331,0.6724664224664225,74688.11555802208,0.010416655092592592,false,"low_coverage,low_turnover"
DOTBTC,26208,1672531200000,1696117500000,337.9506359547986,273.0,1.0,1.2379144174168446,0.010416655092592592,false,low_turnover
FLOWUSDT,26208,1672531200000,1696117500000,64005403.80191002,273.0,1.0,234452.02857842497,0.010416655092592592,false,low_turnover
SNXUSDT,26208,1672531200000,1696117500000,42932836.825697966,273.0,1.0,157263.13855567022,0.010416655092592592,false,low_turnover
MVLUSDT,14944,1682668800000,1696117500000,29224050.97978808,155.66666666666666,0.5702075702075702,107047.80578676952,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
OMGUSDT,26208,1672531200000,1696117500000,11888155.680557026,273.0,1.0,43546.35780423819,0.010416655092592592,false,low_turnover
OPUSDC,26208,1672531200000,1696117500000,23548591.583031062,273.0,1.0,86258.57722722001,0.010416655092592592,false,low_turnover
STETHUSDT,26208,1672531200000,1696117500000,37398713.77095651,273.0,1.0,136991.62553463923,0.010416655092592592,false,low_turnover
ZRXUSDT,26208,1672531200000,1696117500000,8271487.362620022,273.0,1.0,30298.488507765647,0.010416655092592592,false,low_turnover
CITYUSDT,26208,1672531200000,1696117500000,1645558.9672199984,273.0,1.0,6027.688524615379,0.010416655092592592,false,low_turnover
1INCHUSDT,26208,1672531200000,1696117500000,43471730.86923616,273.0,1.0,159237.10941112146,0.010416655092592592,false,low_turnover
BOBAUSDT,26208,1672531200000,1696117500000,13743588.776297431,273.0,1.0,50342.81603039352,0.010416655092592592,false,low_turnover
CAKEUSDT,26208,1672531200000,1696117500000,18412960.072788086,273.0,1.0,67446.74019336294,0.010416655092592592,false,low_turnover
APTUSDT,26208,1672531200000,1696117500000,1928275357.9521525,273.0,1.0,7063279.699458434,0.010416655092592592,false,""
SFUNDUSDT,26208,1672531200000,1696117500000,9654890.68847397,273.0,1.0,35365.89995778011,0.010416655092592592,false,low_turnover
MCRTUSDT,26208,1672531200000,1696117500000,8043067.396399616,273.0,1.0,29461.78533479713,0.010416655092592592,false,low_turnover
ENJUSDT,26208,1672531200000,1696117500000,17945470.435241945,273.0,1.0,65734.32393861518,0.010416655092592592,false,low_turnover
ICPUSDT,26208,1672531200000,1696117500000,234671323.95018563,273.0,1.0,859601.9192314491,0.010416655092592592,false,""
JUVUSDT,26208,1672531200000,1696117500000,1696658.0230310073,273.0,1.0,6214.864553227133,0.010416655092592592,false,low_turnover
RDNTUSDT,22624,1675756800000,1696117500000,39494127.642188855,235.66666666666666,0.8632478632478633,144667.13422047198,0.010416655092592592,false,"low_coverage,low_turnover"
QTUMUSDT,26208,1672531200000,1696117500000,8398390.164441537,273.0,1.0,30763.333935683288,0.010416655092592592,false,low_turnover
SONUSDT,26208,1672531200000,1696117500000,7164477.488882196,273.0,1.0,26243.50728528277,0.010416655092592592,false,low_turnover
SSVUSDT,24344,1674208800000,1696117500000,13586398.445460033,253.58333333333331,0.9288766788766789,49767.02727274737,0.010416655092592592,false,low_turnover
