pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
MANAUSDC-XRPUSDT,08/02-10/31,-3.3441844,0.0,19,-0.1760097,6,32,2881,8.258312,-2.7589025
GMTUSDC-UNIUSDT,08/02-10/31,0.2717502,0.0,22,0.012352282,11,33,2881,3.2360535,-3.321006
ROSEUSDT-XEMUSDT,08/02-10/31,-1.2753141,0.0,15,-0.08502094,8,22,2881,1.4008555,-1.832927
KSMUSDT-STETHUSDT,08/02-10/31,-1.0902884,0.0,18,-0.060571577,11,25,2881,0.9571701,-2.0816364
AVAXUSDT-CAKEUSDT,08/02-10/31,2.3693118,0.0,24,0.098721325,15,33,2881,7.6153436,-6.2385745
MASKUSDT-XRPUSDC,08/02-10/31,2.7521815,0.0,26,0.10585313,15,37,2881,3.1260111,-2.2020018
ARKMUSDT-ICPUSDT,08/02-10/31,1.8088042,0.0,22,0.08221837,14,30,2881,0.89399904,-0.3281241
HFTUSDT-ICPUSDT,08/02-10/31,4.3024464,0.0,20,0.21512231,12,28,2881,4.366204,-1.9558102
ICPUSDC-ICPUSDT,08/02-10/31,-0.2981375,0.0,29,-0.010280603,17,41,2881,1.6098272,-1.8882338
ICXUSDT-WAXPUSDT,08/02-10/31,1.6026132,0.0,5,0.32052264,2,8,2881,0.9478418,-0.1096218
ADAUSDC-ADAUSDT,08/02-10/31,-0.101055525,0.0,5,-0.020211104,2,8,2881,0.17404866,-0.11163683
KSMUSDT-RDNTUSDT,08/02-10/31,0.28853744,0.0,19,0.015186181,12,26,2881,0.7838059,-1.8178024
AXSUSDT-ENSUSDT,08/02-10/31,-1.2804881,0.0,17,-0.07532283,11,23,2881,1.6639605,-4.7192674
MASKUSDT-XRPUSDT,08/02-10/31,1.1479918,0.0,24,0.047832992,14,34,2881,2.7999036,-2.1068268
ARKMUSDT-ICPUSDC,08/02-10/31,2.5986204,0.0,19,0.13676949,15,23,2881,0.80281395,-0.47525212
OMGUSDT-RDNTUSDT,08/02-10/31,0.36965322,0.0,19,0.019455433,9,29,2881,1.148388,-1.9208806
BATUSDT-THETAUSDT,08/02-10/31,-1.6420858,0.0,23,-0.07139503,12,34,2881,1.4651036,-1.9080079
ALGOUSDT-ROSEUSDT,08/02-10/31,1.0537806,0.0,25,0.042151224,13,37,2881,0.69595724,-0.67114645
GMTUSDC-GMTUSDT,08/02-10/31,-2.4521456,0.0,24,-0.10217273,11,37,2881,0.6268488,-1.0856682
BTCDAI-WBTCUSDT,09/01-11/30,5.9103346,0.0,16,0.3693959,11,21,2881,1.7068919,-0.8101502
FILUSDC-ROSEUSDT,09/01-11/30,0.44947162,0.0,1,0.44947162,1,1,2881,0.49902025,-0.04954862
MANAUSDT-PEOPLEUSDT,09/01-11/30,3.7319572,0.0,23,0.16225901,15,31,2881,2.6808348,-1.5501885
BTCUSDC-WBTCUSDT,09/01-11/30,1.0067801,0.0,19,0.05298843,9,29,2881,1.0807439,-0.53786474
FILUSDT-ROSEUSDT,09/01-11/30,1.0273595,0.0,2,0.51367974,2,2,2881,0.58967656,-0.049764223
BATUSDT-ICXUSDT,09/01-11/30,-6.527137,0.0,14,-0.46622404,8,20,2881,1.1952914,-4.8501334
ETCUSDT-IMXUSDT,09/01-11/30,2.324499,0.0,3,0.77483296,3,3,2881,1.8757021,-0.024394002
UMAUSDT-WAVESUSDT,09/01-11/30,0.4576648,0.0,6,0.076277465,6,6,2881,0.18002132,-0.011247885
HFTUSDC-HFTUSDT,09/01-11/30,-0.59527105,0.0,25,-0.023810841,10,40,2881,0.26309708,-0.35242045
AVAXUSDC-ICPUSDT,09/01-11/30,-1.2404358,0.0,5,-0.24808717,2,8,2881,1.079821,-1.3225083
ARKMUSDT-UNIUSDT,09/01-11/30,1.7831261,0.0,4,0.44578153,3,5,2881,1.9526737,-1.9235964
ONEUSDT-WAVESUSDT,09/01-11/30,2.9463944,0.0,24,0.122766435,11,37,2881,6.503053,-2.776275
AVAXUSDC-ICPUSDC,09/01-11/30,-2.3628607,0.0,5,-0.47257215,2,8,2881,0.75698626,-1.4868463
OMGUSDT-QTUMUSDT,09/01-11/30,-7.740713,0.0,4,-1.9351783,1,7,2881,1.0664983,-3.5937788
TRXUSDC-TRXUSDT,09/01-11/30,-1.1772112,0.0,12,-0.09810093,6,18,2881,0.25966433,-0.5057143
AVAXUSDT-ICPUSDT,09/01-11/30,-1.5531987,0.0,6,-0.25886646,2,10,2881,1.0614598,-1.2841716
FLOWUSDT-QTUMUSDT,09/01-11/30,-1.2463083,0.0,2,-0.62315416,0,4,2881,0.0,-1.1416725
AVAXUSDT-ICPUSDC,09/01-11/30,-2.596053,0.0,6,-0.43267548,2,10,2881,0.7373378,-1.4495423
FLOWUSDT-ROSEUSDT,09/01-11/30,0.94912994,0.0,2,0.47456497,1,3,2881,1.4277279,-0.4625864
AXSUSDT-UMAUSDT,09/01-11/30,-7.5953703,0.0,8,-0.9494213,1,15,2881,1.4976383,-4.0839133
MANAUSDC-PEOPLEUSDT,09/01-11/30,0.19287229,0.0,23,0.008385751,14,32,2881,2.2816863,-2.689187
BTCDAI-BTCUSDT,10/01-12/30,5.0853434,0.0,24,0.21188931,14,34,2881,3.4523396,-1.4498324
LTCUSDT-XRPUSDC,10/01-12/30,-1.5236759,0.0,32,-0.047614872,18,46,2881,4.030732,-3.9191742
AXSUSDT-ETHUSDT,10/01-12/30,3.6842065,0.0,29,0.12704161,15,43,2881,2.6373532,-2.0362434
MASKUSDT-SANDUSDC,10/01-12/30,-3.5246596,0.0,3,-1.1748866,2,4,2881,0.14740273,-3.6808226
SANDUSDC-XEMUSDT,10/01-12/30,-1.3997698,0.0,23,-0.060859557,12,34,2881,1.5592238,-3.5189526
1INCHUSDT-WAVESUSDT,10/01-12/30,-2.9301186,0.0,22,-0.1331872,12,32,2881,1.8635612,-2.8067503
DOTUSDC-DOTUSDT,10/01-12/30,-0.3005773,0.0,9,-0.03339748,5,13,2881,0.3850318,-0.22753152
APEUSDC-APEUSDT,10/01-12/30,0.6103962,0.0,5,0.12207924,3,7,2881,0.27748734,-0.0366837
MANAUSDC-MANAUSDT,10/01-12/30,-0.36480713,0.0,9,-0.040534124,4,14,2881,1.481081,-1.2535615
DOGEUSDC-DOGEUSDT,10/01-12/30,-1.3977172,0.0,18,-0.07765096,8,28,2881,0.67344123,-0.8822999
BTCDAI-BTCUSDC,10/01-12/30,4.5233006,0.0,23,0.19666524,13,33,2881,3.4586332,-1.3836747
LTCUSDC-XRPUSDC,10/01-12/30,-5.220541,0.0,33,-0.15819821,16,50,2881,4.2433796,-4.1741977
AXSUSDT-ETHUSDC,10/01-12/30,2.1891844,0.0,29,0.07548912,14,44,2881,2.7171633,-2.0447195
ARBUSDC-IDUSDT,10/01-12/30,0.3123561,0.0,7,0.044622302,4,10,2881,1.3635033,-1.403112
SANDUSDT-XEMUSDT,10/01-12/30,-7.157687,0.0,24,-0.29823697,10,38,2881,1.3094686,-3.8255887
ENJUSDT-MANAUSDC,10/01-12/30,-2.5408006,0.0,25,-0.10163202,11,39,2881,3.6939156,-4.850297
ALGOUSDT-THETAUSDT,10/01-12/30,9.687042,0.0,18,0.538169,13,23,2881,3.354245,-2.757691
CHZUSDC-ONEUSDT,10/01-12/30,3.221155,0.0,13,0.24778114,8,18,2881,2.8957691,-2.7628431
GMTUSDC-GMTUSDT,10/01-12/30,0.43696734,0.0,12,0.036413945,8,16,2881,0.19158584,-0.2230251
LUNCUSDC-LUNCUSDT,10/01-12/30,7.1333566,0.0,38,0.18771991,22,54,2881,4.0015383,-1.2458255
ETHDAI-STETHUSDT,10/01-12/30,3.9012272,0.0,32,0.12191335,14,50,2881,2.7776692,-2.8543923
KSMUSDT-OMGUSDT,10/01-12/30,5.9683094,0.0,26,0.22955036,15,37,2881,11.548071,-11.543209
AXSUSDT-STETHUSDT,10/01-12/30,3.3648834,0.0,32,0.10515261,18,46,2881,2.506334,-2.0179284
ARBUSDT-IDUSDT,10/01-12/30,-0.55356884,0.0,7,-0.07908126,4,10,2881,1.3653017,-1.9292407
APTUSDC-APTUSDT,10/01-12/30,0.10528678,0.0,9,0.011698531,6,12,2881,0.5172644,-0.48104846
