,Equity
2025-01-01 00:00:00,1000.0
2025-01-01 00:15:00,1000.0
2025-01-01 00:30:00,1000.0
2025-01-01 00:45:00,1000.0
2025-01-01 01:00:00,1000.0
2025-01-01 01:15:00,1000.0
2025-01-01 01:30:00,1000.0
2025-01-01 01:45:00,1000.0
2025-01-01 02:00:00,1000.0
2025-01-01 02:15:00,1000.0
2025-01-01 02:30:00,1000.0
2025-01-01 02:45:00,1000.0
2025-01-01 03:00:00,1000.0
2025-01-01 03:15:00,1000.0
2025-01-01 03:30:00,1000.0
2025-01-01 03:45:00,1000.0
2025-01-01 04:00:00,1000.0
2025-01-01 04:15:00,1000.0
2025-01-01 04:30:00,1000.0
2025-01-01 04:45:00,1000.0
2025-01-01 05:00:00,1000.0
2025-01-01 05:15:00,1000.0
2025-01-01 05:30:00,1000.0
2025-01-01 05:45:00,1000.0
2025-01-01 06:00:00,1000.0
2025-01-01 06:15:00,1000.0
2025-01-01 06:30:00,1000.0
2025-01-01 06:45:00,1000.0
2025-01-01 07:00:00,1000.0
2025-01-01 07:15:00,1000.0
2025-01-01 07:30:00,1000.0
2025-01-01 07:45:00,1000.0
2025-01-01 08:00:00,1000.0
2025-01-01 08:15:00,1000.0
2025-01-01 08:30:00,1000.0
2025-01-01 08:45:00,1000.0
2025-01-01 09:00:00,1000.0
2025-01-01 09:15:00,1000.0
2025-01-01 09:30:00,1000.0
2025-01-01 09:45:00,1000.0
2025-01-01 10:00:00,1000.0
2025-01-01 10:15:00,1000.0
2025-01-01 10:30:00,1000.0
2025-01-01 10:45:00,1000.0
2025-01-01 11:00:00,1000.0
2025-01-01 11:15:00,1000.0
2025-01-01 11:30:00,1000.0
2025-01-01 11:45:00,1000.0
2025-01-01 12:00:00,1000.0
2025-01-01 12:15:00,1000.0
2025-01-01 12:30:00,1000.0
2025-01-01 12:45:00,1000.0
2025-01-01 13:00:00,1000.0
2025-01-01 13:15:00,1000.0
2025-01-01 13:30:00,1000.0
2025-01-01 13:45:00,1000.0
2025-01-01 14:00:00,1000.0
2025-01-01 14:15:00,1000.0
2025-01-01 14:30:00,1000.0
2025-01-01 14:45:00,1000.0
2025-01-01 15:00:00,1000.0
2025-01-01 15:15:00,1000.0
2025-01-01 15:30:00,1000.0
2025-01-01 15:45:00,1000.0
2025-01-01 16:00:00,1000.0
2025-01-01 16:15:00,1000.0
2025-01-01 16:30:00,1000.0
2025-01-01 16:45:00,1000.0
2025-01-01 17:00:00,1000.0
2025-01-01 17:15:00,1000.0
2025-01-01 17:30:00,1000.0
2025-01-01 17:45:00,1000.0
2025-01-01 18:00:00,1000.0
2025-01-01 18:15:00,1000.0
2025-01-01 18:30:00,1000.0
2025-01-01 18:45:00,1000.0
2025-01-01 19:00:00,1000.0
2025-01-01 19:15:00,1000.0
2025-01-01 19:30:00,1000.0
2025-01-01 19:45:00,1000.0
2025-01-01 20:00:00,1000.0
2025-01-01 20:15:00,1000.0
2025-01-01 20:30:00,1000.0
2025-01-01 20:45:00,1000.0
2025-01-01 21:00:00,1000.0
2025-01-01 21:15:00,1000.0
2025-01-01 21:30:00,1000.0
2025-01-01 21:45:00,1000.0
2025-01-01 22:00:00,1000.0
2025-01-01 22:15:00,1000.0
2025-01-01 22:30:00,1000.0
2025-01-01 22:45:00,1000.0
2025-01-01 23:00:00,1000.0
2025-01-01 23:15:00,1000.0
2025-01-01 23:30:00,1000.0
2025-01-01 23:45:00,1000.0
2025-01-02 00:00:00,999.7599999755621
2025-01-02 00:15:00,997.3729865401983
2025-01-02 00:30:00,995.7384797185659
2025-01-02 00:45:00,995.7384797185659
2025-01-02 01:00:00,994.5561114400625
2025-01-02 01:15:00,993.5954285115004
2025-01-02 01:30:00,993.5954285115004
2025-01-02 01:45:00,994.6664245575666
2025-01-02 02:00:00,994.6664245575666
2025-01-02 02:15:00,994.6664245575666
2025-01-02 02:30:00,994.6664245575666
2025-01-02 02:45:00,994.6664245575666
2025-01-02 03:00:00,994.6664245575666
2025-01-02 03:15:00,994.6664245575666
2025-01-02 03:30:00,994.642424557358
2025-01-02 03:45:00,994.642424557358
2025-01-02 04:00:00,998.1492080427706
2025-01-02 04:15:00,998.799519572407
2025-01-02 04:30:00,996.9218856431544
2025-01-02 04:45:00,973.437663231045
2025-01-02 05:00:00,973.437663231045
2025-01-02 05:15:00,973.4136632308364
2025-01-02 05:30:00,973.4136632308364
2025-01-02 05:45:00,977.4066415652633
2025-01-02 06:00:00,977.4066415652633
2025-01-02 06:15:00,979.3888491019607
2025-01-02 06:30:00,979.3648490998894
2025-01-02 06:45:00,979.3648490998894
2025-01-02 07:00:00,979.3648490998894
2025-01-02 07:15:00,979.3648490998894
2025-01-02 07:30:00,979.3648490998894
2025-01-02 07:45:00,979.3648490998894
2025-01-02 08:00:00,977.9389107320458
2025-01-02 08:15:00,972.9023439977318
2025-01-02 08:30:00,972.9023439977318
2025-01-02 08:45:00,972.9023439977318
2025-01-02 09:00:00,972.9023439977318
2025-01-02 09:15:00,973.691061982885
2025-01-02 09:30:00,973.6670619826764
2025-01-02 09:45:00,982.9021217208356
2025-01-02 10:00:00,982.8781217224896
2025-01-02 10:15:00,982.8781217224896
2025-01-02 10:30:00,978.5090860016644
2025-01-02 10:45:00,978.5090860016644
2025-01-02 11:00:00,980.1290932781994
2025-01-02 11:15:00,980.1290932781994
2025-01-02 11:30:00,984.2733870632946
2025-01-02 11:45:00,984.249387063086
2025-01-02 12:00:00,984.249387063086
2025-01-02 12:15:00,984.249387063086
2025-01-02 12:30:00,983.1836041584611
2025-01-02 12:45:00,983.1596041563898
2025-01-02 13:00:00,983.1596041563898
2025-01-02 13:15:00,983.1596041563898
2025-01-02 13:30:00,977.2373777274042
2025-01-02 13:45:00,981.2602158430964
2025-01-02 14:00:00,981.2602158430964
2025-01-02 14:15:00,981.2602158430964
2025-01-02 14:30:00,960.9756680373102
2025-01-02 14:45:00,960.8848624099046
2025-01-02 15:00:00,952.6212591994554
2025-01-02 15:15:00,952.6212591994554
2025-01-02 15:30:00,952.6212591994554
2025-01-02 15:45:00,953.5076408851892
2025-01-02 16:00:00,953.5076408851892
2025-01-02 16:15:00,912.3973541725427
2025-01-02 16:30:00,908.9556961525232
2025-01-02 16:45:00,908.9076961521059
2025-01-02 17:00:00,920.8003067020327
2025-01-02 17:15:00,920.8003067020327
2025-01-02 17:30:00,920.7763067018241
2025-01-02 17:45:00,920.7523067016155
2025-01-02 18:00:00,918.8800474423915
2025-01-02 18:15:00,915.0805417317897
2025-01-02 18:30:00,916.8855618257076
2025-01-02 18:45:00,916.8855618257076
2025-01-02 19:00:00,916.8375618252903
2025-01-02 19:15:00,916.8375618252903
2025-01-02 19:30:00,916.7895618248731
2025-01-02 19:45:00,916.7415618244559
2025-01-02 20:00:00,909.5421933475882
2025-01-02 20:15:00,909.5181933492422
2025-01-02 20:30:00,909.470193348825
2025-01-02 20:45:00,909.470193348825
2025-01-02 21:00:00,909.470193348825
2025-01-02 21:15:00,917.9781660661101
2025-01-02 21:30:00,918.7178533300757
2025-01-02 21:45:00,918.6938533317298
2025-01-02 22:00:00,916.7176272403449
2025-01-02 22:15:00,926.1074797641486
2025-01-02 22:30:00,926.1074797641486
2025-01-02 22:45:00,926.1074797641486
2025-01-02 23:00:00,926.1074797641486
2025-01-02 23:15:00,926.08347976394
2025-01-02 23:30:00,926.08347976394
