period,holdout_costs,stress_costs,holdout_dd,stress_dd,holdout_pairs,stress_pairs,holdout_pnl,stress_pnl,holdout_sharpe,stress_sharpe,holdout_trades,stress_trades
20230701-20231231,36.3573140501976,64.11956322193146,-39.566281570121646,-39.93364414945245,13.0,13.0,1207.2162523769075,1164.9006986673849,4.017319379514283,3.927699818679586,959.0,959.0
20240101-20240630,43.53728175163269,76.76593208312988,-201.0300913657993,-212.09781911567552,13.0,13.0,442.03607453324366,407.6746951569221,3.75303439808445,3.5093591138830083,1047.0,1047.0
