config,holdout_costs,stress_costs,holdout_dd,stress_dd,holdout_pairs,stress_pairs,holdout_pnl,stress_pnl,holdout_sharpe,stress_sharpe,holdout_trades,stress_trades
base/maxnot40/risk0p0175/maxpairs15,92.747891664505,161.92773723602295,-452.23737880866975,-466.6740002059378,22.0,22.0,309.8836722187698,238.46787657076493,1.748854488253429,1.4676971130491958,2328.0,2328.0
base/maxnot30/risk0p015/maxpairs15,77.69671058654785,135.9781732559204,-373.36839246087766,-386.11522331275046,22.0,22.0,269.6817486074142,209.8043666437734,1.7403574243829318,1.455572246021417,2328.0,2328.0
base/maxnot40/risk0p015/maxpairs15,77.69671058654785,135.9781732559204,-373.36839246087766,-386.11522331275046,22.0,22.0,269.6817486074142,209.8043666437734,1.7403574243829318,1.455572246021417,2328.0,2328.0
base/maxnot30/risk0p0125/maxpairs10,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
base/maxnot30/risk0p0125/maxpairs12,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
base/maxnot30/risk0p0125/maxpairs15,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
base/maxnot40/risk0p0125/maxpairs10,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
base/maxnot40/risk0p0125/maxpairs12,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
base/maxnot40/risk0p0125/maxpairs15,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot30/risk0p0125/maxpairs10,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot30/risk0p0125/maxpairs12,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot30/risk0p0125/maxpairs15,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot40/risk0p0125/maxpairs10,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot40/risk0p0125/maxpairs12,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
turnoverlow/maxnot40/risk0p0125/maxpairs15,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
