config,holdout_costs,stress_costs,holdout_dd,stress_dd,holdout_pairs,stress_pairs,holdout_pnl,stress_pnl,holdout_sharpe,stress_sharpe,holdout_trades,stress_trades
turnoverlow/maxnot30/risk0p0175/maxpairs12,68.83732450008392,120.95215797424316,-226.24792880163292,-237.8842930681421,19.0,19.0,932.5230177400808,871.3938854272128,5.673204599356701,5.388034525534282,1542.0,1542.0
turnoverlow/maxnot40/risk0p0175/maxpairs12,68.83732450008392,120.95215797424316,-226.24792880163292,-237.8842930681421,19.0,19.0,932.5230177400808,871.3938854272128,5.673204599356701,5.388034525534282,1542.0,1542.0
turnoverlow/maxnot30/risk0p015/maxpairs12,56.69512724876404,99.76785135269164,-184.94096845915192,-194.77402078174052,19.0,19.0,775.6093298869964,726.0625653244206,5.659437418958256,5.372993627149775,1542.0,1542.0
turnoverlow/maxnot40/risk0p015/maxpairs12,56.69512724876404,99.76785135269164,-184.94096845915192,-194.77402078174052,19.0,19.0,775.6093298869964,726.0625653244206,5.659437418958256,5.372993627149775,1542.0,1542.0
turnoverlow/maxnot30/risk0p0175/maxpairs10,56.60134196281433,99.62564873695374,-208.6289828521185,-218.3112435209914,16.0,16.0,730.6497039981259,682.8483385332511,5.284137563729764,5.009365055216809,1298.0,1298.0
turnoverlow/maxnot40/risk0p0175/maxpairs10,56.60134196281433,99.62564873695374,-208.6289828521185,-218.3112435209914,16.0,16.0,730.6497039981259,682.8483385332511,5.284137563729764,5.009365055216809,1298.0,1298.0
turnoverlow/maxnot30/risk0p015/maxpairs10,46.72351956367493,82.34611868858337,-170.94741765881918,-179.17005327437073,16.0,16.0,611.9578490190834,572.8754157368676,5.267281895716897,4.992184168045165,1298.0,1298.0
turnoverlow/maxnot40/risk0p015/maxpairs10,46.72351956367493,82.34611868858337,-170.94741765881918,-179.17005327437073,16.0,16.0,611.9578490190834,572.8754157368676,5.267281895716897,4.992184168045165,1298.0,1298.0
base/maxnot30/risk0p0175/maxpairs10,64.37847924232483,113.03180575370789,-262.1837415061891,-260.46822451613843,16.0,16.0,830.9330859394686,771.2972434397088,5.2149897150884446,4.92760585682705,1568.0,1568.0
base/maxnot40/risk0p0175/maxpairs10,64.37847924232483,113.03180575370789,-262.1837415061891,-260.46822451613843,16.0,16.0,830.9330859394686,771.2972434397088,5.2149897150884446,4.92760585682705,1568.0,1568.0
base/maxnot30/risk0p015/maxpairs10,53.54681897163391,94.17110657691956,-212.9092660676688,-212.0773977553472,16.0,16.0,691.3786725904938,642.8298259837902,5.193560544010169,4.903865190290103,1568.0,1568.0
base/maxnot40/risk0p015/maxpairs10,53.54681897163391,94.17110657691956,-212.9092660676688,-212.0773977553472,16.0,16.0,691.3786725904938,642.8298259837902,5.193560544010169,4.903865190290103,1568.0,1568.0
base/maxnot30/risk0p0175/maxpairs12,74.89174747467041,131.18883419036865,-298.44502978771925,-294.21457720641047,19.0,19.0,764.3744395850663,695.420585446409,4.273272948061128,3.9794760520434673,1858.0,1858.0
base/maxnot40/risk0p0175/maxpairs12,74.89174747467041,131.18883419036865,-298.44502978771925,-294.21457720641047,19.0,19.0,764.3744395850663,695.420585446409,4.273272948061128,3.9794760520434673,1858.0,1858.0
base/maxnot30/risk0p015/maxpairs12,62.48665642738342,109.67509508132936,-244.56799369119108,-241.9078437536955,19.0,19.0,637.8302015340014,581.5059866469819,4.262233439043874,3.9648568536158457,1858.0,1858.0
base/maxnot40/risk0p015/maxpairs12,62.48665642738342,109.67509508132936,-244.56799369119108,-241.9078437536955,19.0,19.0,637.8302015340014,581.5059866469819,4.262233439043874,3.9648568536158457,1858.0,1858.0
turnoverlow/maxnot30/risk0p0175/maxpairs15,78.23418056964874,137.03257393836975,-502.14225946110673,-512.3909270447912,22.0,22.0,403.46023393204086,341.78223808144685,2.454457605256216,2.163280450871211,1922.0,1922.0
turnoverlow/maxnot40/risk0p0175/maxpairs15,78.23418056964874,137.03257393836975,-502.14225946110673,-512.3909270447912,22.0,22.0,403.46023393204086,341.78223808144685,2.454457605256216,2.163280450871211,1922.0,1922.0
turnoverlow/maxnot30/risk0p015/maxpairs15,65.28374898433685,114.5743989944458,-414.34600871066505,-423.66348024766194,22.0,22.0,345.7361157183332,294.3783057122492,2.4537711318746784,2.1606368792753736,1922.0,1922.0
turnoverlow/maxnot40/risk0p015/maxpairs15,65.28374898433685,114.5743989944458,-414.34600871066505,-423.66348024766194,22.0,22.0,345.7361157183332,294.3783057122492,2.4537711318746784,2.1606368792753736,1922.0,1922.0
base/maxnot30/risk0p0175/maxpairs15,92.747891664505,161.92773723602295,-452.23737880866975,-466.6740002059378,22.0,22.0,309.8836722187698,238.46787657076493,1.748854488253429,1.4676971130491958,2328.0,2328.0
