adf_stat,pvalue,half_life,crossings,hurst,beta,beta_drift,pair,symbol1,symbol2,verdict,score
-1.7672058882857458,0.3968602593927792,989.9786528332821,30,0.4518556747456888,0.1193401933730047,1.621602995975176,1INCHUSDT/5IREUSDT,1INCHUSDT,5IREUSDT,FAIL,-11.476617573803674
-5.4282267720387525,2.95421894455202e-06,84.27954648462283,302,0.41115918065895557,0.004592396678118982,0.09668655808614877,1INCHUSDT/AAVEUSDT,1INCHUSDT,AAVEUSDT,PASS,2.0165376673798106
-1.6244150743295325,0.4704154127875874,926.0665268347092,47,0.45966476387408783,7.406123700928596,0.00537187359897674,1INCHUSDT/ACHUSDT,1INCHUSDT,ACHUSDT,FAIL,-3.7910134958707578
-5.171722250233237,1.0039242855556073e-05,68.25294817099018,376,0.4020320643692871,159.8454189486168,0.01108637942962293,1INCHUSDT/ACSUSDT,1INCHUSDT,ACSUSDT,PASS,2.44446771042333
-2.157870619005938,0.22188957866702758,388.29893033317666,169,0.4311670057879451,0.9004200447248872,0.006222174832347146,1INCHUSDT/ADAEUR,1INCHUSDT,ADAEUR,FAIL,-0.25000666083201173
-2.150630480144869,0.22464883670130187,502.2251522616967,155,0.44658199536744947,0.7955180882252676,0.021076481517832424,1INCHUSDT/ADAUSDC,1INCHUSDT,ADAUSDC,FAIL,-0.3518707746021805
-2.149988722885038,0.22489440756784318,505.1919288440611,157,0.44711722804634835,0.797098679995253,0.025054447707968962,1INCHUSDT/ADAUSDT,1INCHUSDT,ADAUSDT,FAIL,-0.37421631421827684
-3.0402279191513553,0.03130460019716137,204.05502397983892,66,0.397799832432253,1.219469030172678,5.414441921101024,1INCHUSDT/AEGUSDT,1INCHUSDT,AEGUSDT,FAIL,-26.065255607476733
-3.9059251475747487,0.0019916714316880156,128.88232962381898,73,0.4731701612849631,0.11718444100832735,0.9540875164376058,1INCHUSDT/AEVOUSDT,1INCHUSDT,AEVOUSDT,FAIL,-3.3303542965049093
-2.8834108285822873,0.0473113806455032,166.63999166773417,70,0.33573202946253133,0.2523721142086514,0.6011092552987745,1INCHUSDT/AFCUSDT,1INCHUSDT,AFCUSDT,FAIL,-2.0786600829489044
-1.5730371529424354,0.4971221109216074,1000.0,60,0.457839534410929,-0.325176798633274,2.019696909965983,1INCHUSDT/AFGUSDT,1INCHUSDT,AFGUSDT,FAIL,-13.86970565904599
-2.449247109508213,0.12831624632352617,462.28534872380106,145,0.46864637264315956,0.43510163674945906,0.4853174056392842,1INCHUSDT/AGIUSDT,1INCHUSDT,AGIUSDT,FAIL,-1.7097494914316829
-2.173886924025965,0.21585911555767834,696.9727314675032,34,0.42808456072602846,3.3697808294930756,2.1302045234776985,1INCHUSDT/AGLAUSDT,1INCHUSDT,AGLAUSDT,FAIL,-12.129613772965275
-3.4637929846079514,0.008967138133015203,151.39985449362948,162,0.4185665876300663,0.3743171323869143,0.13121987971447313,1INCHUSDT/AGLDUSDT,1INCHUSDT,AGLDUSDT,PASS,1.2542292200974823
-1.7580631228203887,0.40147182824624084,850.4343141365159,130,0.43030808949612753,0.1542721841155523,0.5215746524212658,1INCHUSDT/AIOZUSDT,1INCHUSDT,AIOZUSDT,FAIL,-4.622591544568737
-2.0906635584776696,0.24828536656903422,679.6397592254002,52,0.42842088025694613,4.9624056807191135,2.5611906931423065,1INCHUSDT/AKIUSDT,1INCHUSDT,AKIUSDT,FAIL,-14.248807131401875
-2.2020591097377933,0.20549896782376714,655.8601761521701,56,0.4464802140656232,116073.80720337025,0.48084910261908576,1INCHUSDT/ALGOBTC,1INCHUSDT,ALGOBTC,FAIL,-3.3392351913331
-4.591361979578469,0.0001339887684881206,141.98358843852338,123,0.4468082550760054,1.92325815642325,0.05687153480249661,1INCHUSDT/ALGOUSDT,1INCHUSDT,ALGOUSDT,PASS,1.7143024383026357
-3.1329847864396236,0.024206526372911225,240.70298720278458,110,0.4521135883802547,0.8231526021225534,0.03463723949000768,1INCHUSDT/ALTUSDT,1INCHUSDT,ALTUSDT,FAIL,1.5847485388208493
-1.3069002827010883,0.6260095427647622,1000.0,58,0.447983789736188,4.286395083540033,0.2760005022108484,1INCHUSDT/ANKRUSDT,1INCHUSDT,ANKRUSDT,FAIL,-6.480097938701864
-2.724231827835787,0.06993814621699937,351.9816452943895,67,0.4364588427376832,0.21032011973646497,0.11768977157115802,1INCHUSDT/APEUSDC,1INCHUSDT,APEUSDC,FAIL,0.0521696799742164
-2.739098341253881,0.06751344889094406,398.27728973275595,67,0.4470056239395613,0.21058710135025427,0.120660803790842,1INCHUSDT/APEUSDT,1INCHUSDT,APEUSDT,FAIL,0.06156149213634943
-2.943367108701135,0.040532430471068026,183.8636103312978,158,0.3482748829605438,0.1432341852762695,0.20583580228688672,1INCHUSDT/APEXUSDC,1INCHUSDT,APEXUSDC,FAIL,0.565496683854886
-2.7523469673660883,0.06540964903798517,212.50922301579112,168,0.3632203057910337,0.14254008597584605,0.20726083268383383,1INCHUSDT/APEXUSDT,1INCHUSDT,APEXUSDT,FAIL,0.30959934620097895
-2.0684815602930255,0.2573756757779604,808.0467709842528,38,0.4471393124930609,3.0047881336322027,0.19617802256259154,1INCHUSDT/APPUSDT,1INCHUSDT,APPUSDT,FAIL,-2.794646870592562
-2.563848904361659,0.1007014924836157,454.63809894379455,144,0.4704768584194737,0.02431266611463167,0.541210628739481,1INCHUSDT/APTUSDC,1INCHUSDT,APTUSDC,FAIL,-1.7130680685335617
-2.539016407455029,0.10626745186355596,463.59512841927346,130,0.4719915926881783,0.024309792305646914,0.5424136828584212,1INCHUSDT/APTUSDT,1INCHUSDT,APTUSDT,FAIL,-1.7747429329276656
-1.7861722940971139,0.38734805299598113,1000.0,36,0.44607494941207526,0.08874948408207319,0.41158189739302176,1INCHUSDT/ARBUSDC,1INCHUSDT,ARBUSDC,FAIL,-5.211390016924921
-1.7840728353192323,0.3883972651200504,1000.0,38,0.4461132100608157,0.08865894115808964,0.4160580412059358,1INCHUSDT/ARBUSDT,1INCHUSDT,ARBUSDT,FAIL,-5.204262857230184
-2.504295990269977,0.11443255994599999,421.7946443734574,113,0.4673445543783614,0.08196196276469962,0.6561723085935732,1INCHUSDT/ARKMUSDT,1INCHUSDT,ARKMUSDT,FAIL,-2.425187142427866
-3.39240729755337,0.01122044561332904,208.7541687188889,184,0.4010710012966817,0.2061481125725368,0.11272508922342088,1INCHUSDT/ARTYUSDT,1INCHUSDT,ARTYUSDT,FAIL,1.3241700977496051
-1.6747734608529297,0.4441545624136905,785.7860764448611,151,0.46772713270832483,0.005297270954743548,0.5909484645854836,1INCHUSDT/ARUSDT,1INCHUSDT,ARUSDT,FAIL,-5.396287947064323
-2.902718299336113,0.045032808155127876,312.2976827379154,169,0.45132277799504966,0.04712057050814114,0.20079455803381346,1INCHUSDT/ATOMUSDT,1INCHUSDT,ATOMUSDT,FAIL,0.5456991282796539
-2.813966244237362,0.056306317043093294,177.70380464530191,130,0.38305809082657105,0.560884988224876,0.16642528450573618,1INCHUSDT/AVAUSDT,1INCHUSDT,AVAUSDT,FAIL,0.6048104070403864
-2.167018464454605,0.21843281001980985,637.4180560624476,70,0.472870438038087,0.008589914649581816,0.44855962953189776,1INCHUSDT/AVAXUSDC,1INCHUSDT,AVAXUSDC,FAIL,-3.0271262478575873
-2.158432589949706,0.22167627075253088,642.5758925218242,66,0.4731872547074361,0.008578870562724116,0.44913759707914264,1INCHUSDT/AVAXUSDT,1INCHUSDT,AVAXUSDT,FAIL,-3.142450692921022
-4.650728396398473,0.0001040401024277238,161.52867604070195,357,0.5231404329002801,0.17576506772462094,0.07067146179705013,1INCHUSDT/AXLUSDT,1INCHUSDT,AXLUSDT,PASS,1.645602289990472
-5.307743119300489,5.277010725570681e-06,94.17055759388114,223,0.43759395595576867,0.04770794560380008,0.01652433441187557,1INCHUSDT/AXSUSDT,1INCHUSDT,AXSUSDT,PASS,2.4173255578333666
-2.366607495230728,0.15138380087366143,300.35234417603886,101,0.40460432718895417,106507415.5950705,1.080686373948659,1INCHUSDT/BABYDOGEUSDT,1INCHUSDT,BABYDOGEUSDT,FAIL,-4.9172698784799085
-3.57579168802032,0.006241065596690543,131.17908540501693,117,0.41166031887306326,1.845494571856217,0.3117383220973121,1INCHUSDT/BATUSDT,1INCHUSDT,BATUSDT,FAIL,0.378897733546534
-1.5372937341305069,0.5149886698124249,1000.0,74,0.45095591554835196,0.00029871282279423186,0.7046677853568918,1INCHUSDT/BCHUSDT,1INCHUSDT,BCHUSDT,FAIL,-7.193225624908706
-3.4016421339968756,0.010903018594107148,255.34313460291244,126,0.42768080875375863,0.614882498762613,6.46592099065333,1INCHUSDT/BCUTUSDT,1INCHUSDT,BCUTUSDT,FAIL,-30.43863513920772
-2.783201730895896,0.060713634060690316,401.9518229846767,71,0.4871461894428019,10.97156948885238,0.8594055118971891,1INCHUSDT/BEAMUSDT,1INCHUSDT,BEAMUSDT,FAIL,-3.484163900092849
-1.700380890251086,0.4309162414441587,983.2454012289627,36,0.4558875178908269,0.10729881942594388,0.8880154203691375,1INCHUSDT/BELUSDT,1INCHUSDT,BELUSDT,FAIL,-8.029239516287275
-1.987193015676568,0.2922165933903628,722.1511350212733,26,0.47496394757185445,0.44406113731767655,0.4777088912102272,1INCHUSDT/BICOUSDT,1INCHUSDT,BICOUSDT,FAIL,-4.790710389954764
-1.711177422814287,0.4253629288080829,1000.0,14,0.4599362242030102,0.25088580362997376,0.5179667368103263,1INCHUSDT/BLURUSDT,1INCHUSDT,BLURUSDT,FAIL,-6.56346297213246
-1.3058715660293312,0.6264818020704616,1000.0,90,0.46013085492098255,0.00034675119856051836,0.2765930298008374,1INCHUSDT/BNBUSDT,1INCHUSDT,BNBUSDT,FAIL,-5.847783169708803
-2.099228969404989,0.24482474979025132,572.1158789409874,74,0.45384952899535436,0.30057857645113517,0.08683708014709943,1INCHUSDT/BOBAUSDT,1INCHUSDT,BOBAUSDT,FAIL,-1.4024328986380104
-1.8154789363076407,0.3728043605665179,487.14390060943936,141,0.4645493353540185,9272.481098880835,0.35103232247202654,1INCHUSDT/BONKUSDT,1INCHUSDT,BONKUSDT,FAIL,-3.4832052180253115
-1.6842602700325027,0.43923975910970225,668.587308733861,259,0.4040055050313784,1.1283020598438896e-06,0.8721821709088053,1INCHUSDT/BTCBRZ,1INCHUSDT,BTCBRZ,FAIL,-6.75330844564105
-1.4240902249108494,0.5706740358985313,427.8348784014075,185,0.3551203035439957,6.647698755626197e-06,1.4977644507990997,1INCHUSDT/BTCDAI,1INCHUSDT,BTCDAI,FAIL,-11.195562612980812
-1.6089304582980006,0.4791060527014901,951.6114091523972,153,0.43786618008361333,6.837852825814372e-06,1.317521127674514,1INCHUSDT/BTCEUR,1INCHUSDT,BTCEUR,FAIL,-9.378666165387472
-1.67603628661644,0.4434996643571856,883.9635082726589,133,0.43530209403129316,6.6596772778137865e-06,1.5092263086243456,1INCHUSDT/BTCUSDC,1INCHUSDT,BTCUSDC,FAIL,-9.981128186693583
-1.6677325888609766,0.4478095711116392,891.1223413213582,135,0.4351498869354447,6.662511422197664e-06,1.508260046758933,1INCHUSDT/BTCUSDT,1INCHUSDT,BTCUSDT,FAIL,-10.019395944911057
-2.9625864124927888,0.03853917482313807,285.49841290153273,133,0.40712183646167577,252773.9829437317,1.2490144437355046,1INCHUSDT/BTTUSDT,1INCHUSDT,BTTUSDT,FAIL,-4.630463966908904
-3.6734231611747856,0.0045028968167019085,229.65326549947383,111,0.4359199247300787,1.1797009317409461,0.30148557654962044,1INCHUSDT/C98USDT,1INCHUSDT,C98USDT,FAIL,0.4475431490848787
-2.7355509805249802,0.06808582905932624,369.75033051263745,140,0.4400382899356362,0.1035315703985242,0.1893251742394371,1INCHUSDT/CAKEUSDT,1INCHUSDT,CAKEUSDT,FAIL,0.37251583820955214
-3.2736933072269823,0.016096124463728323,220.03231477864463,196,0.41391918454333726,10.938669253943615,0.014318283978297472,1INCHUSDT/CAPSUSDT,1INCHUSDT,CAPSUSDT,FAIL,1.7674473354712295
-4.90578286494542,3.3981647050946466e-05,53.01522290932801,261,0.3417244640312462,0.5259839031909023,0.40028252977063256,1INCHUSDT/CBKUSDT,1INCHUSDT,CBKUSDT,FAIL,0.49824753467632776
-4.942095787208787,2.885860448412711e-05,153.9074501897134,185,0.5052674971931077,0.3456278963911788,0.25610170145379774,1INCHUSDT/CELOUSDT,1INCHUSDT,CELOUSDT,FAIL,0.71920290668617
-3.325702830201326,0.013767928489100282,188.3131772242804,145,0.4101707810995279,0.8633012317077309,0.09016442691047916,1INCHUSDT/CGPTUSDT,1INCHUSDT,CGPTUSDT,PASS,1.4114985805566014
-2.655631029245273,0.08203570923760423,343.62477875487735,201,0.4200707337602886,10.61642785765329,0.1387631544913969,1INCHUSDT/CHRPUSDT,1INCHUSDT,CHRPUSDT,FAIL,0.4858271351669732
-3.7520121503867334,0.00343827322815887,179.60142490443337,145,0.43861515079077373,3.9099248838434524,0.23873445294326673,1INCHUSDT/CHZUSDC,1INCHUSDT,CHZUSDC,FAIL,0.7719450030020778
-3.7192075530991,0.003850952582580881,190.6666594364981,139,0.4442378263298787,3.916563557786955,0.23558646022496812,1INCHUSDT/CHZUSDT,1INCHUSDT,CHZUSDT,FAIL,0.7835581730493506
-2.6155925805032574,0.08981723033091016,175.93483223039317,235,0.36906044394126786,0.17762894630730064,0.23738312023029556,1INCHUSDT/CITYUSDT,1INCHUSDT,CITYUSDT,FAIL,-0.08508790446057946
-2.5686548784398266,0.09965025002098005,335.7836021397994,196,0.4067216761712513,0.005673465205369302,0.5110771260623084,1INCHUSDT/COMPUSDT,1INCHUSDT,COMPUSDT,FAIL,-1.5518881305213421
-2.172635919037415,0.21632649009646582,325.0049559374192,187,0.4194130822183,49550.67738022778,0.530013353281392,1INCHUSDT/COQUSDT,1INCHUSDT,COQUSDT,FAIL,-2.813331667371618
-1.7116953604542067,0.42509697259202367,1000.0,30,0.4548920832044552,-0.000422770241365832,1.0300744036465799,1INCHUSDT/COREUSDT,1INCHUSDT,COREUSDT,FAIL,-8.801341744153136
-1.829655684238519,0.3658410063010584,927.3537430138855,40,0.455395868987103,-1.0063279694574403,5.0217884363035425,1INCHUSDT/COTUSDT,1INCHUSDT,COTUSDT,FAIL,-27.967352244528296
-1.7372912301673733,0.4120085108791748,736.0221852376926,94,0.44058143086824153,0.23024945272729466,2.4740923849773626,1INCHUSDT/CPOOLUSDT,1INCHUSDT,CPOOLUSDT,FAIL,-14.61054703367856
-3.228792637491868,0.01837738135491552,173.9025339845892,95,0.39298631540321166,0.6654349523188053,0.045784503204173224,1INCHUSDT/CRVUSDT,1INCHUSDT,CRVUSDT,PASS,1.4873036704299787
-3.1604377183700003,0.02239197790929044,231.95156849176297,92,0.4251284158132648,11.170145931670989,0.9486425922929494,1INCHUSDT/CSPRUSDT,1INCHUSDT,CSPRUSDT,FAIL,-3.127132740557652
-1.8150501535126897,0.37301572359778523,694.0492201486591,96,0.4319650566988569,0.36981511141300716,0.07395065571245911,1INCHUSDT/CTCUSDT,1INCHUSDT,CTCUSDT,FAIL,-2.179910514540148
-2.5330766961229068,0.10763239645653017,455.47706892621613,113,0.4404348904128789,0.029173119350675854,0.40972619617594946,1INCHUSDT/CYBERUSDT,1INCHUSDT,CYBERUSDT,FAIL,-1.1249549454450491
-1.851819054146602,0.35505503265997396,782.6872954820883,48,0.4310311526885498,5.4023884736898236,2.244665197141344,1INCHUSDT/DAIUSDT,1INCHUSDT,DAIUSDT,FAIL,-13.813876312306459
-1.6484666898025184,0.45784021376604334,957.0108861471151,61,0.4561920024739641,-0.21581364752136417,3.579504811621981,1INCHUSDT/DEFIUSDT,1INCHUSDT,DEFIUSDT,FAIL,-21.25592619577034
-2.261726933953076,0.184608960742299,431.05273952817976,93,0.43783489946292803,21.770685257593218,0.18438731179874154,1INCHUSDT/DGBUSDT,1INCHUSDT,DGBUSDT,FAIL,-0.9080261664166975
-3.3425932365553166,0.013078645417000405,194.01020124214742,256,0.43963014439111814,0.4833349532488228,0.045789924183637996,1INCHUSDT/DMAILUSDT,1INCHUSDT,DMAILUSDT,PASS,1.6402639249118058
-1.6564255233610952,0.45369151608903485,942.7807866354733,64,0.45796996710501053,1.3609279525297868,0.05078010104678441,1INCHUSDT/DOGEEUR,1INCHUSDT,DOGEEUR,FAIL,-3.5108156661242704
-1.6609039591398538,0.45136007830836267,935.1838499049609,74,0.4597749031407712,1.3021089479377261,0.01928406850889867,1INCHUSDT/DOGEUSDC,1INCHUSDT,DOGEUSDC,FAIL,-3.13002112562812
-1.6539244978437742,0.4549944948045763,941.9681422271473,70,0.4604591359999613,1.3023177361894194,0.01972137347371123,1INCHUSDT/DOGEUSDT,1INCHUSDT,DOGEUSDT,FAIL,-3.2485518154143187
-2.6641484254770624,0.08045025770757847,341.2558020470155,143,0.4284611154212201,483.76660485655987,0.05972120367377079,1INCHUSDT/DOMEUSDT,1INCHUSDT,DOMEUSDT,FAIL,0.8968914045553613
-1.8505488732661608,0.355669766435581,983.7889770209382,50,0.45189870547054833,1089.580045185962,3.759459344827679,1INCHUSDT/DOTBTC,1INCHUSDT,DOTBTC,FAIL,-21.353994388494204
-3.282658387286018,0.015671665982183416,164.52849376605272,154,0.4011459149428169,0.05946286433396095,0.009019485609411864,1INCHUSDT/DOTUSDC,1INCHUSDT,DOTUSDC,PASS,1.7981859121311066
-3.2833609516684943,0.015638822293703412,166.30542119415054,152,0.40145934736166217,0.059558164715073074,0.012471251279272743,1INCHUSDT/DOTUSDT,1INCHUSDT,DOTUSDT,PASS,1.781255520666602
-2.0067800932411473,0.28360820031943057,673.5033563949613,98,0.437518059636134,6.496678292471245,0.6349946557014972,1INCHUSDT/DUELUSDT,1INCHUSDT,DUELUSDT,FAIL,-4.0510552817017915
-1.9309410384957266,0.3176483489816898,661.9039720550373,101,0.39596775216976526,0.11894116155741848,0.2519368617523976,1INCHUSDT/DYDXUSDT,1INCHUSDT,DYDXUSDT,FAIL,-2.436167798578886
-1.8725878101654032,0.34506448603568574,899.7765539857263,34,0.45818607441827747,0.018773077523305034,3.048300760871281,1INCHUSDT/DYMUSDT,1INCHUSDT,DYMUSDT,FAIL,-18.012148664713262
