pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
AFCUSDT-ICPUSDT,08/02-10/31,-1.7632066011428833,0.1887899786233902,14,-0.12594333291053772,8,20,2881,4.940715312957764,-4.48608922958374,
CITYUSDT-DOTUSDC,08/02-10/31,-0.2881566286087036,0.21337977051734924,20,-0.014407831244170666,8,32,2881,2.9386467933654785,-2.7281618118286133,
BELUSDT-FTTUSDT,08/02-10/31,-0.4933978319168091,0.37268880009651184,24,-0.020558243617415428,12,36,2881,0.4447191059589386,-0.7191652655601501,
ARKMUSDT-SOLUSDT,08/02-10/31,1.165850043296814,0.3967098593711853,23,0.050689131021499634,14,32,2881,0.8310071229934692,-0.8095866441726685,
ARKMUSDT-OMGUSDT,08/02-10/31,2.279456615447998,0.35711225867271423,21,0.10854555666446686,14,28,2881,0.7950884103775024,-0.4193325340747833,
BICOUSDT-IMXUSDT,08/02-10/31,4.0669846534729,0.3399960398674011,22,0.18486294150352478,10,34,2881,1.2766400575637817,-0.5630383491516113,
HFTUSDT-RPLUSDT,08/02-10/31,-1.4184266328811646,1.411508560180664,23,-0.06167072430253029,12,34,2881,1.2403836250305176,-2.4151265621185303,
BICOUSDT-ROSEUSDT,08/02-10/31,-0.8859928250312805,0.279727041721344,22,-0.04027239978313446,11,33,2881,0.5373022556304932,-0.8996118307113647,
CELOUSDT-ZRXUSDT,08/02-10/31,3.255521774291992,0.05444662272930145,2,1.627760887145996,2,2,2881,2.7316954135894775,-0.015819648280739784,
CTCUSDT-DOTUSDC,08/02-10/31,18.072860717773438,0.637582540512085,26,0.695110023021698,15,37,2881,4.53864049911499,-2.353640079498291,
RSS3USDT-TWTUSDT,08/02-10/31,7.784689426422119,0.699306845664978,8,0.9730861783027649,3,13,2881,15.581670761108398,-5.828163146972656,
RSS3USDT-SOLUSDT,08/02-10/31,11.326364517211914,1.8951053619384766,32,0.3539488911628723,16,48,2881,14.949763298034668,-6.834410190582275,
BATUSDT-COMPUSDT,08/02-10/31,1.1209802627563477,0.4017685353755951,20,0.05604901164770126,11,29,2881,1.425472378730774,-1.89322829246521,
ADAUSDC-PSGUSDT,08/02-10/31,-2.1674962043762207,0.323437362909317,17,-0.1274997740983963,10,24,2881,1.8463588953018188,-4.804309844970703,
BATUSDT-LTCUSDC,08/02-10/31,2.635759115219116,0.3358875513076782,22,0.11980723589658737,14,30,2881,2.1060266494750977,-1.9348081350326538,
FORTUSDT-SFUNDUSDT,08/02-10/31,-3.117152452468872,0.8887288570404053,37,-0.08424736559391022,11,63,2881,5.901173114776611,-7.646801948547363,
ALGOUSDT-ROSEUSDT,08/02-10/31,1.0537805557250977,0.3536950349807739,25,0.04215122386813164,13,37,2881,0.6959572434425354,-0.6711464524269104,
MVUSDT-OPUSDT,08/02-10/31,2.607637882232666,0.11114126443862915,11,0.23705798387527466,9,13,2881,0.9081200361251831,-0.18763327598571777,
HVHUSDT-TRVLUSDT,08/02-10/31,1.7219526767730713,0.9841489791870117,30,0.05739842355251312,12,48,2881,3.780991792678833,-1.2248657941818237,
