tag,kind,run_id,sharpe,pnl,max_dd,cost_ratio,trades,pairs,costs
z1p14,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p14_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p14,4.241409927821121,2080.133676423531,-477.59043127129553,0.09175573884671774,4634,58,190.8642023801804
z1p14,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p14_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p14,3.937179467933892,1838.3814142103656,-468.0271968485904,0.1770961918081468,4634,58,325.5703475475311
z1p145,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p145_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p145,4.278781612578072,2114.1411276604704,-478.4956183314207,0.09038663589737227,4623,58,191.09010434150696
z1p145,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p145_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p145,3.975256113734507,1870.4919362023936,-469.0339715082664,0.17427353880397947,4623,58,325.9772490262985
z1p15,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p15,4.379776344160132,2190.0171243353543,-473.4645452626282,0.08713801313656243,4610,58,190.83374094963077
z1p15,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p15,4.076234326149898,1942.04584373784,-464.38942052662605,0.16762662576242965,4610,58,325.53859186172485
z1p155,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p155_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p155,4.187107350727369,2045.95720302784,-459.7622041096329,0.09098949747984116,4588,58,186.1606177687645
z1p155,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p155_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p155,3.885717625289983,1808.0999697771624,-450.84772416751366,0.1756564535807569,4588,58,317.6044284105301
z1p16,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p16_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p16,4.11264529640781,1972.2466177128736,-431.2433280737605,0.09380444275612168,4575,58,185.00549495220184
z1p16,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p16_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_vm10055_z1p16,3.81030712108341,1739.6621478854795,-423.9670841283514,0.1814343461157459,4575,58,315.634464263916
