run_id,config_path,zscore_threshold,zscore_exit,coint_pvalue_threshold,kpss_pvalue_threshold,max_hurst_exponent,min_correlation,min_half_life_days,max_half_life_days,sharpe_ratio_abs,total_pnl,max_drawdown_abs,total_trades,total_pairs_traded
20260115_quality_universe_z0p8,configs/quality_runs_20260115/quality_strictpv_z0p8.yaml,0.8,0.06,0.05,0.05,0.55,0.45,0.01,60,0.3724241931886633,153.62180585804163,-16.837151422922034,294,13
20260115_quality_universe_z1p2_hl0p05_mc3_c0p5,configs/quality_runs_20260115/quality_strictpv_z1p2_hl0p05_mc3_c0p5.yaml,1.2,0.2,0.05,0.05,0.55,0.5,0.05,60,0.22663353190025814,17.642133060260676,-5.2106469720602036,52,11
