pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
APEUSDT-MANAUSDC,12/03-03/02,24.375786,0.0,120,0.20313154,410,446,2881,3.6062284,-5.8372345
HOOKUSDT-SNXUSDT,12/03-03/02,44.74018,0.0,111,0.4030647,376,414,2881,4.4547086,-3.3648224
HOOKUSDT-OMGUSDT,12/03-03/02,41.08553,0.0,123,0.3340287,359,379,2881,4.3944516,-4.9394226
LUNAUSDT-RUNEUSDT,12/03-03/02,28.716928,0.0,118,0.2433638,409,446,2881,3.6429563,-3.1862793
APEUSDC-XRPEUR,12/03-03/02,51.79796,0.0,113,0.458389,360,411,2881,4.6480985,-6.8444214
APEUSDT-XRPEUR,12/03-03/02,35.779167,0.0,123,0.29088753,389,440,2881,4.2488065,-6.53154
LUNAUSDT-ZENUSDT,12/03-03/02,51.148865,0.0,124,0.41249084,419,420,2881,2.531784,-3.1523743
GENEUSDT-SHRAPUSDT,12/03-03/02,71.63277,0.0,122,0.58715385,383,486,2881,16.15997,-9.197037
APEUSDC-XRPUSDC,12/03-03/02,39.76365,0.0,113,0.3518907,392,447,2881,4.6653104,-6.9227295
APEUSDT-XRPUSDC,12/03-03/02,29.960318,0.0,119,0.25176737,415,484,2881,4.277081,-6.60289
APEUSDC-XRPUSDT,12/03-03/02,40.8582,0.0,118,0.34625593,391,455,2881,4.609677,-7.0388794
APEUSDT-XRPUSDT,12/03-03/02,23.996914,0.0,117,0.20510183,419,491,2881,4.2203794,-6.70726
THETAUSDT-UNIUSDT,12/03-03/02,-2.2304401,0.0,113,-0.019738408,395,493,2881,10.757596,-13.067169
SUSHIUSDT-XRPUSDT,12/03-03/02,68.58343,0.0,137,0.500609,447,447,2881,11.408002,-11.258179
SUSHIUSDT-XRPUSDC,12/03-03/02,66.59903,0.0,136,0.48969874,443,451,2881,11.5948,-11.31237
SUSHIUSDT-XRPEUR,12/03-03/02,71.43629,0.0,136,0.5252668,418,432,2881,8.666715,-11.277161
LMWRUSDT-ROOTUSDT,12/03-03/02,-12.198056,0.0,120,-0.10165047,426,489,2881,10.378156,-11.605804
OMGUSDT-QTUMUSDT,12/03-03/02,50.272305,0.0,117,0.4296778,351,374,2881,6.0243225,-8.281265
MPLXUSDT-SOLOUSDT,12/03-03/02,7.258852,0.0,102,0.07116522,383,476,2881,3.3353162,-5.0835114
GENEUSDT-LUNAUSDT,12/03-03/02,60.659775,0.0,118,0.51406586,451,519,2881,17.034973,-12.56749
CELOUSDT-UNIUSDT,12/03-03/02,1.1920624,0.0,107,0.01114077,370,458,2881,6.6266522,-6.3579865
MPLXUSDT-ROSEUSDT,12/03-03/02,13.768976,0.0,102,0.13498996,377,464,2881,3.5055509,-4.953003
