s1,s2,reason
ADAUSDT,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,ETHUSDC,beta_out_of_range (0.00)
ETHUSDT,LINKUSDT,beta_out_of_range (146.05)
ETHUSDC,LINKUSDT,beta_out_of_range (146.60)
LINKUSDT,RVNUSDT,beta_out_of_range (251.65)
ADAUSDT,ETHDAI,beta_out_of_range (0.00)
QTUMUSDT,RVNUSDT,beta_out_of_range (101.77)
ADAUSDT,STETHUSDT,beta_out_of_range (0.00)
ETHDAI,LINKUSDT,beta_out_of_range (158.01)
ATOMUSDT,ONEUSDT,beta_out_of_range (171.45)
ADAUSDT,BTCUSDT,beta_out_of_range (0.00)
ADAUSDT,BTCUSDC,beta_out_of_range (0.00)
ONEUSDT,SHIBUSDT,beta_out_of_range (6410.76)
ETHUSDC,QTUMUSDT,beta_out_of_range (358.01)
ETHUSDT,QTUMUSDT,beta_out_of_range (356.66)
SHIBUSDT,SOLUSDT,beta_out_of_range (0.00)
SHIBUSDT,SOLUSDC,beta_out_of_range (0.00)
ICPUSDT,ONEUSDT,beta_out_of_range (116.01)
BTCUSDT,FTTUSDT,beta_out_of_range (828.18)
BTCUSDC,FTTUSDT,beta_out_of_range (832.09)
ADAUSDT,SHIBUSDT,beta_out_of_range (36276.51)
FLOWUSDT,RVNUSDT,beta_out_of_range (107.36)
ETHUSDT,ONEUSDT,beta_out_of_range (12684.46)
ETHUSDC,ONEUSDT,beta_out_of_range (12731.08)
ADAUSDT,WBTCUSDT,beta_out_of_range (0.00)
LINKUSDT,SHIBUSDT,beta_out_of_range (585183.85)
ETHDAI,QTUMUSDT,beta_out_of_range (405.72)
ICPUSDT,RVNUSDT,beta_out_of_range (330.21)
AVAXUSDT,ONEUSDT,beta_out_of_range (576.35)
ETHUSDC,RVNUSDT,beta_out_of_range (36577.72)
ETHUSDT,RVNUSDT,beta_out_of_range (36436.60)
COMPUSDT,ONEUSDT,beta_out_of_range (813.15)
ENJUSDT,SHIBUSDT,beta_out_of_range (68087.23)
ADAUSDT,BTCDAI,beta_out_of_range (0.00)
BCHUSDT,RVNUSDT,beta_out_of_range (4435.43)
SHIBUSDT,THETAUSDT,beta_out_of_range (0.00)
AAVEUSDT,ONEUSDT,beta_out_of_range (1141.92)
BTCUSDT,LINKUSDT,beta_out_of_range (1603.66)
LINKUSDT,XLMUSDT,beta_out_of_range (102.85)
ETHUSDT,THETAUSDT,beta_out_of_range (549.34)
BTCUSDC,LINKUSDT,beta_out_of_range (1611.49)
ETHUSDC,THETAUSDT,beta_out_of_range (551.34)
ENJUSDT,SCUSDT,beta_out_of_range (150.83)
ETHUSDT,ICPUSDT,beta_out_of_range (110.75)
ETHUSDC,ICPUSDT,beta_out_of_range (111.16)
BTCDAI,FTTUSDT,beta_out_of_range (859.47)
AAVEUSDT,ENJUSDT,beta_out_of_range (108.06)
LINKUSDT,XLMUSDC,beta_out_of_range (102.31)
ETHDAI,ONEUSDT,beta_out_of_range (14404.82)
BCHUSDT,XLMUSDT,beta_out_of_range (1841.27)
QTUMUSDT,SCUSDT,beta_out_of_range (519.64)
ENJUSDT,ETHUSDT,beta_out_of_range (0.00)
ENJUSDT,ETHUSDC,beta_out_of_range (0.00)
COMPUSDT,DGBUSDT,beta_out_of_range (4412.75)
ETHUSDT,FLOWUSDT,beta_out_of_range (341.74)
DGBUSDT,SHIBUSDT,beta_out_of_range (1162.12)
GALAUSDT,SHIBUSDT,beta_out_of_range (9849.69)
SLPUSDT,SOLUSDT,beta_out_of_range (0.00)
BCHUSDT,XLMUSDC,beta_out_of_range (1831.49)
ETHUSDC,FLOWUSDT,beta_out_of_range (342.97)
FLOWUSDT,SLPUSDT,beta_out_of_range (249.40)
DGBUSDT,ETHUSDC,beta_out_of_range (0.00)
DOTUSDT,RVNUSDT,beta_out_of_range (304.23)
DOTUSDC,RVNUSDT,beta_out_of_range (304.89)
RVNUSDT,SOLUSDC,beta_out_of_range (0.00)
DGBUSDT,ETHUSDT,beta_out_of_range (0.00)
LINKUSDT,WBTCUSDT,beta_out_of_range (0.00)
DGBUSDT,SOLUSDC,beta_out_of_range (0.00)
RVNUSDT,SOLUSDT,beta_out_of_range (0.00)
RVNUSDT,SHIBUSDT,beta_out_of_range (2265.73)
FLOWUSDT,SHIBUSDT,beta_out_of_range (251738.23)
SLPUSDT,SOLUSDC,beta_out_of_range (0.00)
BNBUSDT,ONEUSDT,beta_out_of_range (1257.68)
DGBUSDT,SOLUSDT,beta_out_of_range (0.00)
QTUMUSDT,SLPUSDT,beta_out_of_range (232.50)
AVAXUSDT,DGBUSDT,beta_out_of_range (3151.05)
DOGEUSDT,SHIBUSDT,beta_out_of_range (4281.24)
QTUMUSDT,SHIBUSDT,beta_out_of_range (232308.45)
DOTUSDT,ONEUSDT,beta_out_of_range (106.68)
LINKUSDT,SLPUSDT,beta_out_of_range (582.39)
ETHDAI,RVNUSDT,beta_out_of_range (41889.58)
ETHUSDT,XLMUSDT,beta_out_of_range (15095.85)
DOTUSDC,ONEUSDT,beta_out_of_range (106.90)
ETHUSDT,HBARUSDT,beta_out_of_range (10093.68)
ANKRUSDT,COMPUSDT,beta_out_of_range (0.00)
ETHUSDC,XLMUSDT,beta_out_of_range (15154.98)
ETHUSDC,HBARUSDT,beta_out_of_range (10131.55)
BTCDAI,LINKUSDT,beta_out_of_range (1637.62)
ETHDAI,THETAUSDT,beta_out_of_range (590.41)
LTCUSDT,RVNUSDT,beta_out_of_range (1400.37)
ETHDAI,ICPUSDT,beta_out_of_range (121.33)
ETHUSDC,XLMUSDC,beta_out_of_range (15076.76)
ETHUSDT,XLMUSDC,beta_out_of_range (15016.63)
ONEUSDT,STETHUSDT,beta_out_of_range (0.00)
ETHUSDT,SHIBUSDT,beta_out_of_range (87986110.28)
ANKRUSDT,SOLUSDT,beta_out_of_range (0.00)
LTCUSDC,RVNUSDT,beta_out_of_range (1406.31)
AVAXUSDT,SHIBUSDT,beta_out_of_range (3896558.65)
BNBUSDT,RVNUSDT,beta_out_of_range (3624.53)
ANKRUSDT,SOLUSDC,beta_out_of_range (0.00)
ETHUSDC,SHIBUSDT,beta_out_of_range (88334485.72)
ATOMUSDT,HBARUSDT,beta_out_of_range (136.36)
ETHDAI,FLOWUSDT,beta_out_of_range (365.79)
ICPUSDT,XLMUSDT,beta_out_of_range (134.90)
AVAXUSDT,RVNUSDT,beta_out_of_range (1645.33)
ENJUSDT,ETHDAI,beta_out_of_range (0.00)
BTCUSDT,SOLUSDT,beta_out_of_range (204.78)
SHIBUSDT,UNIUSDT,beta_out_of_range (0.00)
BTCUSDC,RVNUSDT,beta_out_of_range (405307.14)
CHZUSDT,SHIBUSDT,beta_out_of_range (9262.41)
BTCUSDT,RVNUSDT,beta_out_of_range (403270.29)
RVNUSDT,STETHUSDT,beta_out_of_range (0.00)
SHIBUSDT,SLPUSDT,beta_out_of_range (0.00)
BTCUSDT,SOLUSDC,beta_out_of_range (204.51)
