config_path,results_dir,status,lineage_uid,metadata_json
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v006_evo_318acb623e34_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v006_evo_318acb623e34_oos20250701_20251231,planned,lnuid_88e3970e0f8f4fb24e73,"{""candidate_id"": ""evo_318acb623e34"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_88e3970e0f8f4fb24e73"", ""operator_id"": ""op_topup_force_mutate_1"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 6, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v006_evo_318acb623e34_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v006_evo_318acb623e34_oos20250701_20251231,planned,lnuid_88e3970e0f8f4fb24e73,"{""candidate_id"": ""evo_318acb623e34"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_88e3970e0f8f4fb24e73"", ""operator_id"": ""op_topup_force_mutate_1"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 6, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v007_evo_a987926f2c3a_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v007_evo_a987926f2c3a_oos20250701_20251231,planned,lnuid_f6c145c3863c1035c2cd,"{""candidate_id"": ""evo_a987926f2c3a"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_f6c145c3863c1035c2cd"", ""operator_id"": ""op_topup_force_mutate_4"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 7, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v007_evo_a987926f2c3a_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v007_evo_a987926f2c3a_oos20250701_20251231,planned,lnuid_f6c145c3863c1035c2cd,"{""candidate_id"": ""evo_a987926f2c3a"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_f6c145c3863c1035c2cd"", ""operator_id"": ""op_topup_force_mutate_4"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 7, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v008_evo_33f608e8af5c_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v008_evo_33f608e8af5c_oos20250701_20251231,planned,lnuid_ade6e6f6cc89c5420c9c,"{""candidate_id"": ""evo_33f608e8af5c"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_ade6e6f6cc89c5420c9c"", ""operator_id"": ""op_topup_force_mutate_5"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 8, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v008_evo_33f608e8af5c_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v008_evo_33f608e8af5c_oos20250701_20251231,planned,lnuid_ade6e6f6cc89c5420c9c,"{""candidate_id"": ""evo_33f608e8af5c"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_ade6e6f6cc89c5420c9c"", ""operator_id"": ""op_topup_force_mutate_5"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 8, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v009_evo_1dafc7a07ccd_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v009_evo_1dafc7a07ccd_oos20250701_20251231,planned,lnuid_3efaf568cdd2e6063f01,"{""candidate_id"": ""evo_1dafc7a07ccd"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_3efaf568cdd2e6063f01"", ""operator_id"": ""op_topup_force_mutate_11"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 9, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v009_evo_1dafc7a07ccd_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v009_evo_1dafc7a07ccd_oos20250701_20251231,planned,lnuid_3efaf568cdd2e6063f01,"{""candidate_id"": ""evo_1dafc7a07ccd"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_3efaf568cdd2e6063f01"", ""operator_id"": ""op_topup_force_mutate_11"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 9, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v010_evo_5b1d379c866e_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v010_evo_5b1d379c866e_oos20250701_20251231,planned,lnuid_fcc9b34bc1f4086177b8,"{""candidate_id"": ""evo_5b1d379c866e"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_fcc9b34bc1f4086177b8"", ""operator_id"": ""op_topup_force_mutate_14"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 10, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v010_evo_5b1d379c866e_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v010_evo_5b1d379c866e_oos20250701_20251231,planned,lnuid_fcc9b34bc1f4086177b8,"{""candidate_id"": ""evo_5b1d379c866e"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_fcc9b34bc1f4086177b8"", ""operator_id"": ""op_topup_force_mutate_14"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 10, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v011_evo_1c1877a2c095_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v011_evo_1c1877a2c095_oos20250701_20251231,planned,lnuid_9873aad3ed3ba0f8acac,"{""candidate_id"": ""evo_1c1877a2c095"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_9873aad3ed3ba0f8acac"", ""operator_id"": ""op_topup_force_mutate_18"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 11, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
