pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
AXSUSDT-ETHUSDC,10/01-12/30,-4.3656173,0.0,38,-0.11488467,16,60,2881,2.2286723,-3.8081176
AXSUSDT-STETHUSDT,10/01-12/30,-0.1124599,0.0,44,-0.0025559068,21,67,2881,2.0634043,-1.6165156
AXSUSDT-GRTUSDT,10/01-12/30,5.1131315,0.0,39,0.13110593,23,55,2881,1.5245527,-0.7215593
FILUSDC-WAVESUSDT,10/01-12/30,1.8394077,0.0,31,0.05933573,19,43,2881,4.975944,-3.393474
FILUSDT-WAVESUSDT,10/01-12/30,2.3137817,0.0,31,0.07463812,20,42,2881,4.441422,-3.3403792
FILUSDT-SANDUSDT,10/01-12/30,-0.33712173,0.0,35,-0.009632049,14,56,2881,2.2013586,-1.5975142
MASKUSDT-SANDUSDT,10/01-12/30,-0.90080017,0.0,4,-0.22520004,3,5,2881,2.4215145,-3.8875363
MASKUSDT-SANDUSDC,10/01-12/30,-1.1167669,0.0,4,-0.27919173,3,5,2881,2.250194,-3.8732738
ARBUSDC-IDUSDT,10/01-12/30,1.9994948,0.0,7,0.28564212,4,10,2881,2.8722515,-2.030081
ARBUSDT-IDUSDT,10/01-12/30,1.3138256,0.0,7,0.18768938,4,10,2881,2.9443326,-2.2174375
HOOKUSDT-RVNUSDT,10/01-12/30,3.7039845,0.0,19,0.19494656,10,28,2881,1.2193534,-0.45837227
SOLUSDC-SOLUSDT,10/01-12/30,-0.98936456,0.0,18,-0.0549647,7,29,2881,0.058864057,-0.12555099
CELOUSDT-QTUMUSDT,10/01-12/30,16.258335,0.0,31,0.5244624,22,40,2881,4.46659,-2.8041892
STGUSDT-XTZUSDT,10/01-12/30,2.6128182,0.0,3,0.87093943,1,5,2881,4.4316783,-1.3677162
CELOUSDT-IDUSDT,10/01-12/30,-15.241662,0.0,25,-0.60966647,14,36,2881,3.087003,-8.720415
SANDUSDC-XEMUSDT,10/01-12/30,-5.970502,0.0,23,-0.25958705,10,36,2881,3.0527751,-3.395567
SANDUSDT-XEMUSDT,10/01-12/30,-5.329874,0.0,24,-0.22207808,11,37,2881,3.250976,-3.719142
APTUSDC-APTUSDT,10/01-12/30,-0.41502902,0.0,10,-0.0415029,6,14,2881,0.6446744,-0.5155677
LINKUSDC-LINKUSDT,10/01-12/30,-0.2290197,0.0,20,-0.011450985,9,31,2881,0.3838075,-0.3039822
IDUSDT-LRCUSDT,10/01-12/30,0.15550272,0.0,2,0.07775136,1,3,2881,0.39068583,-0.20689894
1INCHUSDT-XEMUSDT,10/01-12/30,-0.8987551,0.0,21,-0.04279786,10,32,2881,1.8200877,-2.2421618
SANDUSDC-WAVESUSDT,10/01-12/30,6.2644167,0.0,29,0.21601437,17,41,2881,4.2285323,-3.1692607
SANDUSDT-WAVESUSDT,10/01-12/30,9.39769,0.0,25,0.3759076,17,33,2881,5.3109365,-3.3657308
1INCHUSDT-WAVESUSDT,10/01-12/30,2.0266466,0.0,30,0.06755488,19,41,2881,1.7146838,-2.3591979
ENJUSDT-MANAUSDC,10/01-12/30,-3.271127,0.0,26,-0.12581258,11,41,2881,3.2704833,-4.909528
ENJUSDT-MANAUSDT,10/01-12/30,-1.1665013,0.0,27,-0.043203752,13,41,2881,3.388104,-4.806375
FILUSDC-FILUSDT,10/01-12/30,1.2198502,0.0,17,0.07175589,8,26,2881,1.6140838,-1.6877446
C98USDT-QTUMUSDT,10/01-12/30,-6.332608,0.0,33,-0.19189721,15,51,2881,1.1885352,-1.9811469
ICPUSDC-ICPUSDT,10/01-12/30,-4.5387373,0.0,20,-0.22693686,10,30,2881,0.97964895,-1.7731082
FIDAUSDT-JASMYUSDT,10/01-12/30,-5.342194,0.0,29,-0.1842136,18,40,2881,16.226292,-29.717167
LDOUSDC-LDOUSDT,10/01-12/30,-1.2629778,0.0,11,-0.11481617,2,20,2881,0.027751684,-0.33876175
DOTUSDC-DOTUSDT,10/01-12/30,-0.53723896,0.0,11,-0.048839904,5,17,2881,0.41930464,-0.2477628
ALGOUSDT-THETAUSDT,10/01-12/30,3.4166439,0.0,34,0.10048953,21,47,2881,2.9367814,-3.5563521
DOGEUSDC-FLOWUSDT,10/01-12/30,-2.1396117,0.0,2,-1.0698059,0,4,2881,0.0,-1.3540742
DOGEUSDT-FLOWUSDT,10/01-12/30,2.2646928,0.0,4,0.5661732,3,5,2881,1.963531,-1.2742052
DOGEEUR-WAVESUSDT,10/01-12/30,1.8206365,0.0,34,0.05354813,21,47,2881,4.8790436,-5.7561016
DOGEEUR-FLOWUSDT,10/01-12/30,-3.6443176,0.0,3,-1.2147726,0,6,2881,0.0,-2.0847762
CHZUSDC-KSMUSDT,10/01-12/30,-8.380868,0.0,28,-0.2993167,15,41,2881,3.342627,-4.140048
CHZUSDT-KSMUSDT,10/01-12/30,-22.559105,0.0,30,-0.7519702,9,51,2881,1.941463,-4.659142
APEUSDC-APEUSDT,10/01-12/30,0.26038894,0.0,5,0.05207779,3,7,2881,0.22094414,-0.054590892
CHZUSDC-ONEUSDT,10/01-12/30,-5.154479,0.0,26,-0.19824919,12,40,2881,3.1411073,-3.1976328
CHZUSDT-ONEUSDT,10/01-12/30,-9.16255,0.0,22,-0.41647956,8,36,2881,2.1273413,-4.5250745
OPUSDC-OPUSDT,10/01-12/30,-4.5016975,0.0,18,-0.2500943,6,30,2881,0.4950008,-1.0701207
WLDUSDC-WLDUSDT,10/01-12/30,-0.5337689,0.0,17,-0.03139817,5,29,2881,0.04138207,-0.0878094
ACHUSDT-SANDUSDT,10/01-12/30,0.6359883,0.0,3,0.2119961,2,4,2881,0.8378698,-0.948427
APEXUSDC-APEXUSDT,10/01-12/30,4.977644,0.0,16,0.31110275,7,25,2881,6.0590663,-0.44477963
SUIUSDC-SUIUSDT,10/01-12/30,-0.22536156,0.0,13,-0.017335504,5,21,2881,0.26575693,-0.13557152
MANAUSDC-MANAUSDT,10/01-12/30,0.3048355,0.0,13,0.023448884,7,19,2881,1.5465492,-0.77844834
GMTUSDC-GMTUSDT,10/01-12/30,0.4898556,0.0,19,0.025781874,10,28,2881,0.21324505,-0.21273068
SANDUSDC-SANDUSDT,10/01-12/30,-2.3730803,0.0,16,-0.14831752,5,27,2881,0.43879285,-0.5476746
ADAUSDC-ADAUSDT,10/01-12/30,-5.241906,0.0,16,-0.32761914,1,31,2881,0.10550967,-0.47146735
MNTUSDC-MNTUSDT,10/01-12/30,-1.3369126,0.0,19,-0.07036382,8,30,2881,0.34672797,-0.4707343
CHZUSDC-CHZUSDT,10/01-12/30,2.5712035,0.0,20,0.12856017,9,31,2881,3.0367992,-1.7198142
XLMUSDC-XLMUSDT,10/01-12/30,4.88947,0.0,17,0.2876159,10,24,2881,2.1857557,-1.3236606
TRXUSDC-TRXUSDT,10/01-12/30,-0.4117847,0.0,19,-0.02167288,9,29,2881,0.50505495,-0.5088215
DOGEUSDC-DOGEUSDT,10/01-12/30,-1.8920872,0.0,19,-0.09958354,7,31,2881,0.7145409,-0.9284117
LUNCUSDC-LUNCUSDT,10/01-12/30,3.1893525,0.0,42,0.075936966,23,61,2881,3.73577,-2.5870688
SHIBUSDC-SHIBUSDT,10/01-12/30,-1.2184899,0.0,13,-0.09372999,5,21,2881,0.5706312,-0.5022367
