,Equity
2023-05-15 21:45:00,1063.2326681569684
2023-05-15 22:00:00,1063.2326681569684
2023-05-15 22:15:00,1064.6758291677106
2023-05-15 22:30:00,1064.6758291677106
2023-05-15 22:45:00,1064.6758291677106
2023-05-15 23:00:00,1064.6758291677106
2023-05-15 23:15:00,1064.8750191733707
2023-05-15 23:30:00,1064.8750191733707
2023-05-15 23:45:00,1064.26955054258
2023-05-16 00:00:00,1064.26955054258
2023-05-16 00:15:00,1064.26955054258
2023-05-16 00:30:00,1064.26955054258
2023-05-16 00:45:00,1063.2878477976192
2023-05-16 01:00:00,1063.14346888219
2023-05-16 01:15:00,1060.8700695291627
2023-05-16 01:30:00,1060.8700695291627
2023-05-16 01:45:00,1060.8700695291627
2023-05-16 02:00:00,1060.846069528954
2023-05-16 02:15:00,1060.846069528954
2023-05-16 02:30:00,1060.846069528954
2023-05-16 02:45:00,1060.2566754363943
2023-05-16 03:00:00,1059.6273862265516
2023-05-16 03:15:00,1059.6273862265516
2023-05-16 03:30:00,1059.6273862265516
2023-05-16 03:45:00,1059.6273862265516
2023-05-16 04:00:00,1059.6273862265516
2023-05-16 04:15:00,1059.603386226343
2023-05-16 04:30:00,1059.5793862261344
2023-05-16 04:45:00,1059.5793862261344
2023-05-16 05:00:00,1059.5793862261344
2023-05-16 05:15:00,1059.5793862261344
2023-05-16 05:30:00,1059.5793862261344
2023-05-16 05:45:00,1059.5793862261344
2023-05-16 06:00:00,1059.5793862261344
2023-05-16 06:15:00,1059.955941817956
2023-05-16 06:30:00,1059.955941817956
2023-05-16 06:45:00,1059.955941817956
2023-05-16 07:00:00,1060.9784862019587
2023-05-16 07:15:00,1061.0904151119757
2023-05-16 07:30:00,1061.8574313439894
2023-05-16 07:45:00,1061.8574313439894
2023-05-16 08:00:00,1061.8574313439894
2023-05-16 08:15:00,1061.8334313437808
2023-05-16 08:30:00,1061.8334313437808
2023-05-16 08:45:00,1061.8334313437808
2023-05-16 09:00:00,1063.801030735718
2023-05-16 09:15:00,1063.8492511354852
2023-05-16 09:30:00,1063.8492511354852
2023-05-16 09:45:00,1063.8492511354852
2023-05-16 10:00:00,1065.0386599146295
2023-05-16 10:15:00,1065.0386599146295
2023-05-16 10:30:00,1065.0386599146295
2023-05-16 10:45:00,1065.0386599146295
2023-05-16 11:00:00,1065.4358822249342
2023-05-16 11:15:00,1065.4358822249342
2023-05-16 11:30:00,1065.4358822249342
2023-05-16 11:45:00,1065.4358822249342
2023-05-16 12:00:00,1065.4358822249342
2023-05-16 12:15:00,1065.4358822249342
2023-05-16 12:30:00,1065.4358822249342
2023-05-16 12:45:00,1065.4358822249342
2023-05-16 13:00:00,1065.4118822247256
2023-05-16 13:15:00,1065.1262874931563
2023-05-16 13:30:00,1065.1262874931563
2023-05-16 13:45:00,1065.078287492739
2023-05-16 14:00:00,1065.4310656294692
2023-05-16 14:15:00,1065.4310656294692
2023-05-16 14:30:00,1065.4310656294692
2023-05-16 14:45:00,1065.4310656294692
2023-05-16 15:00:00,1065.4310656294692
2023-05-16 15:15:00,1065.4070656292606
2023-05-16 15:30:00,1065.4070656292606
2023-05-16 15:45:00,1065.3519769154955
2023-05-16 16:00:00,1065.3519769154955
2023-05-16 16:15:00,1065.3519769154955
2023-05-16 16:30:00,1065.3519769154955
2023-05-16 16:45:00,1065.3279769152869
2023-05-16 17:00:00,1065.3279769152869
2023-05-16 17:15:00,1065.3039769150782
2023-05-16 17:30:00,1065.2319769181777
2023-05-16 17:45:00,1065.2319769181777
2023-05-16 18:00:00,1065.1622538336087
2023-05-16 18:15:00,1065.1622538336087
2023-05-16 18:30:00,1065.1622538336087
2023-05-16 18:45:00,1064.754720396595
2023-05-16 19:00:00,1065.1559910543729
2023-05-16 19:15:00,1065.1319910541642
2023-05-16 19:30:00,1065.1319910541642
2023-05-16 19:45:00,1065.1079910539556
2023-05-16 20:00:00,1065.1079910539556
2023-05-16 20:15:00,1065.1079910539556
2023-05-16 20:30:00,1065.1079910539556
2023-05-16 20:45:00,1065.2185316898394
2023-05-16 21:00:00,1065.2185316898394
2023-05-16 21:15:00,1065.2185316898394
2023-05-16 21:30:00,1065.2185316898394
2023-05-16 21:45:00,1065.1945316896308
2023-05-16 22:00:00,1065.1945316896308
2023-05-16 22:15:00,1065.1945316896308
2023-05-16 22:30:00,1065.1945316896308
2023-05-16 22:45:00,1065.1945316896308
2023-05-16 23:00:00,1065.1945316896308
2023-05-16 23:15:00,1065.1945316896308
2023-05-16 23:30:00,1065.1945316896308
2023-05-16 23:45:00,1065.1945316896308
