pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
DMAILUSDT-GALFTUSDT,02/01-05/31,10.002276420593262,0.2407529056072235,14,0.7144483327865601,10,18,2881,8.756733894348145,-1.4462138414382935,
BICOUSDT-DUELUSDT,02/01-05/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0,
CBKUSDT-ENJUSDT,02/01-05/31,0.10402339696884155,0.14318034052848816,14,0.007430242840200663,9,19,2881,0.6129911541938782,-0.8161681890487671,
C98USDT-GTAIUSDT,02/01-05/31,0.08882676064968109,0.004233318846672773,1,0.08882676064968109,1,1,2881,0.09090326726436615,-0.0020765040535479784,
ADAEUR-KUBUSDT,02/01-05/31,1.0636121034622192,0.11556228995323181,15,0.07090747356414795,8,22,2881,0.9611729383468628,-0.40991610288619995,
HFTUSDT-KUBUSDT,02/01-05/31,3.261666774749756,0.13951519131660461,9,0.3624074161052704,7,11,2881,1.7962355613708496,-0.35901033878326416,
C98USDT-CHZUSDC,02/01-05/31,-0.08565372228622437,0.01507600024342537,2,-0.04282686114311218,1,3,2881,0.002960139187052846,-0.08114207535982132,
BATUSDT-JSTUSDT,02/01-05/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0,
CHZUSDC-FILUSDT,02/01-05/31,0.0225985050201416,0.04984482750296593,2,0.0112992525100708,1,3,2881,0.17055705189704895,-0.12261028587818146,
CAPSUSDT-KUBUSDT,02/01-05/31,1.4535846710205078,0.1613318920135498,8,0.18169808387756348,6,10,2881,0.5764111280441284,-0.1254282295703888,
ERTHAUSDT-KASTAUSDT,02/01-05/31,-0.5159859657287598,0.11223883926868439,3,-0.17199532687664032,1,5,2881,0.5688076615333557,-0.9041314125061035,
ETCUSDT-JUVUSDT,02/01-05/31,1.278029203414917,0.2026505470275879,16,0.07987682521343231,5,27,2881,1.499175786972046,-0.32599905133247375,
DOTUSDC-FTTUSDT,02/01-05/31,-0.33730950951576233,0.03162107244133949,1,-0.33730950951576233,0,2,2881,0.0,-0.32165661454200745,
GALFTUSDT-HBARUSDT,02/01-05/31,-7.485544681549072,0.28700631856918335,6,-1.2475907802581787,1,11,2881,0.2542090117931366,-3.576923370361328,
APEXUSDT-AVAUSDT,02/01-05/31,-0.10920543968677521,0.029549051076173782,2,-0.054602719843387604,1,3,2881,0.06667830795049667,-0.1611889898777008,
AFCUSDT-ANKRUSDT,02/01-05/31,2.527825355529785,0.10265771299600601,5,0.5055650472640991,2,8,2881,4.041696071624756,-1.3464735746383667,
AFCUSDT-BICOUSDT,02/01-05/31,3.00972056388855,0.0809829905629158,6,0.5016201138496399,2,10,2881,4.830843448638916,-1.3476393222808838,
AGLDUSDT-APEUSDC,02/01-05/31,1.3786239624023438,0.09518950432538986,6,0.22977066040039062,4,8,2881,1.1943390369415283,-0.022762050852179527,
CBKUSDT-FILUSDC,02/01-05/31,0.36273306608200073,0.07189934700727463,8,0.04534163326025009,5,11,2881,0.609997034072876,-0.6198809742927551,
AVAUSDT-FITFIUSDT,02/01-05/31,0.6444818377494812,0.15744803845882416,8,0.08056022971868515,5,11,2881,0.7937424182891846,-0.1956297904253006,
1INCHUSDT-KUBUSDT,02/01-05/31,0.7253197431564331,0.03394565358757973,4,0.18132993578910828,2,6,2881,0.8880126476287842,-0.1349031627178192,
HFTUSDC-KDAUSDT,02/01-05/31,0.6362982392311096,0.18244700133800507,9,0.07069980353116989,5,13,2881,0.5120789408683777,-0.2386205494403839,
GODSUSDT-KSMUSDT,02/01-05/31,-1.945934534072876,0.18450602889060974,13,-0.1496872752904892,4,22,2881,0.5714014768600464,-1.3083736896514893,
1INCHUSDT-AXSUSDT,02/01-05/31,-0.9290031790733337,0.1624370515346527,8,-0.11612539738416672,5,11,2881,0.6383177638053894,-0.8623786568641663,
5IREUSDT-FXSUSDT,02/01-05/31,1.0960702896118164,0.42529183626174927,10,0.1096070259809494,5,15,2881,1.4015047550201416,-1.533439040184021,
CHZUSDT-FILUSDT,02/01-05/31,-0.12757855653762817,0.05216781422495842,2,-0.06378927826881409,1,3,2881,0.15076357126235962,-0.2519102990627289,
CAPSUSDT-GTAIUSDT,02/01-05/31,0.3897351622581482,0.040937308222055435,2,0.1948675811290741,2,2,2881,0.2451292723417282,-0.013590020127594471,
ERTHAUSDT-FLOWUSDT,02/01-05/31,-0.9511569142341614,0.03167816251516342,2,-0.4755784571170807,0,4,2881,0.0,-0.8234504461288452,
FILUSDC-JUVUSDT,02/01-05/31,-0.08014243841171265,0.11053919792175293,11,-0.007285676430910826,5,17,2881,0.7954953908920288,-0.7386499643325806,
DOTUSDT-FTTUSDT,02/01-05/31,-0.35495853424072266,0.032167937606573105,1,-0.35495853424072266,0,2,2881,0.0,-0.33902785181999207,
APEXUSDT-KASTAUSDT,02/01-05/31,-0.11519505083560944,0.02670300379395485,2,-0.05759752541780472,1,3,2881,0.04569296911358833,-0.14761270582675934,
APEXUSDC-AVAUSDT,02/01-05/31,0.005343873985111713,0.10232719033956528,2,0.0026719369925558567,2,2,2881,0.04484081268310547,-0.03538906201720238,
AXLUSDT-FILUSDT,02/01-05/31,0.30683478713035583,0.03846621513366699,1,0.30683478713035583,1,1,2881,0.326016902923584,-0.01918211579322815,
