entry_bar,exit_bar,bars_held,entry_z,exit_z,pnl,pair
96,97,1,3.9982638008991978,3.556758623840565,53.68319599999884,BTCUSDT/ETHUSDT
98,99,1,3.535069357533076,3.906169221498172,-329.4758739999997,BTCUSDT/ETHUSDT
100,101,1,3.2269830567120446,3.160517771748263,-75.64359599999884,BTCUSDT/ETHUSDT
102,174,72,2.7999773995490496,-0.036849756322509496,-169.9834779999936,BTCUSDT/ETHUSDT
190,198,8,-1.1824612927365572,-0.04556134975918008,388.16005200000785,BTCUSDT/ETHUSDT
236,237,1,-2.301130538251921,-4.200695650580411,-369.76322599999304,BTCUSDT/ETHUSDT
238,239,1,-3.193771279178709,-6.581069004448911,-760.887932000002,BTCUSDT/ETHUSDT
240,241,1,-11.899461048964325,-6.613444636308635,359.7313159999974,BTCUSDT/ETHUSDT
242,243,1,-5.718299223837268,-3.8773512130798307,564.502064000004,BTCUSDT/ETHUSDT
244,245,1,-3.9486542016480466,-3.736235236223455,-68.25691600000465,BTCUSDT/ETHUSDT
246,247,1,-3.3652382651335593,-3.154306908118069,1.8366879999965138,BTCUSDT/ETHUSDT
248,249,1,-3.2667709700942935,-3.3209406791142255,-191.484706000009,BTCUSDT/ETHUSDT
250,325,75,-2.8286731883558067,-0.05681472479378461,624.4339920000049,BTCUSDT/ETHUSDT
335,348,13,1.1931436868207272,3.3783749919960346,-604.2703520000006,BTCUSDT/ETHUSDT
349,350,1,4.49136620726232,4.0312413841810715,20.9622,BTCUSDT/ETHUSDT
351,356,5,3.4549570517943904,3.01153230197923,-90.6365600000029,BTCUSDT/ETHUSDT
357,394,37,2.690877313331504,0.03495854126345434,457.00590600000174,BTCUSDT/ETHUSDT
442,469,27,-1.048905852660521,-0.00988759059277164,159.52234199999768,BTCUSDT/ETHUSDT
476,563,87,1.8429868297408591,-0.005699991596270736,344.9679379999965,BTCUSDT/ETHUSDT
575,629,54,1.143169326109774,4.08142882923361,-397.6629159999974,BTCUSDT/ETHUSDT
630,631,1,3.702308892808045,3.8429264787146704,-38.62035800000233,BTCUSDT/ETHUSDT
632,633,1,3.3948177700461213,3.068170119177456,15.042874000006972,BTCUSDT/ETHUSDT
634,635,1,3.2176659682705475,3.035471295828983,-0.3992799999941897,BTCUSDT/ETHUSDT
636,670,34,2.817334130243693,-3.2579540351363225,729.5444520000005,BTCUSDT/ETHUSDT
672,683,11,-1.5554093280278138,-3.603884032073991,-437.04190600000175,BTCUSDT/ETHUSDT
684,685,1,-3.2074132680041587,-3.562709076089575,-103.15398799999652,BTCUSDT/ETHUSDT
686,703,17,-2.3698204903670503,0.03429831168913131,445.49665999999564,BTCUSDT/ETHUSDT
718,720,2,1.1815549191415602,4.426698681282236,-852.692385999996,BTCUSDT/ETHUSDT
721,722,1,1.8148143241554195,3.061364823236962,-369.76322600000026,BTCUSDT/ETHUSDT
723,724,1,3.594908957997347,3.2535043062501057,29.40697199999913,BTCUSDT/ETHUSDT
725,744,19,3.1244336173702525,3.1187354943117422,-750.5365979999995,BTCUSDT/ETHUSDT
745,746,1,3.123192897968381,4.490538006106229,-892.2809980000067,BTCUSDT/ETHUSDT
747,748,1,4.122138267833197,3.96916428051643,-142.46310400000115,BTCUSDT/ETHUSDT
749,750,1,3.0375072675855215,3.043602158133649,-133.7088899999971,BTCUSDT/ETHUSDT
751,838,87,3.083323020297369,0.026061186975358728,200.9775879999965,BTCUSDT/ETHUSDT
847,852,5,1.0302729720312933,7.728586226059155,-1043.5082979999993,BTCUSDT/ETHUSDT
853,854,1,-4.274101817986572,-3.7409145467670246,29.955982000009296,BTCUSDT/ETHUSDT
855,856,1,-5.784974418026962,-4.551204753446534,107.56603200000202,BTCUSDT/ETHUSDT
857,956,99,-3.247407601569636,3.668072439610326,1406.0245919999977,BTCUSDT/ETHUSDT
957,983,26,1.9490040879523394,0.025594747339320267,756.5357800000014,BTCUSDT/ETHUSDT
1002,1018,16,1.2197154882074752,3.947260828381239,-1796.1011879999965,BTCUSDT/ETHUSDT
1019,1034,15,3.6606018436547094,0.02091710603803359,1924.3499239999996,BTCUSDT/ETHUSDT
1061,1117,56,-1.1129861862102344,-3.4991754902342183,-1107.3431879999964,BTCUSDT/ETHUSDT
1118,1119,1,-4.634234708896317,-4.54249945188902,-84.79709000000436,BTCUSDT/ETHUSDT
1120,1121,1,-4.3738694290199565,-4.5471437515548825,-257.9548439999983,BTCUSDT/ETHUSDT
1122,1123,1,-5.212054567500966,-4.383460402191436,95.0685679999907,BTCUSDT/ETHUSDT
1124,1125,1,-3.9997291538399256,-3.8167667408339176,-95.95696599999738,BTCUSDT/ETHUSDT
1126,1145,19,-3.381238081002058,-3.0499646397915448,-1537.6073160000046,BTCUSDT/ETHUSDT
1146,1213,67,-2.5456916950107673,0.03981482988526261,718.8936580000023,BTCUSDT/ETHUSDT
1251,1274,23,-1.0995029821637103,0.04359985965623369,179.06709799999942,BTCUSDT/ETHUSDT
1276,1295,19,1.297338235851277,0.005639364367216986,205.1800100000029,BTCUSDT/ETHUSDT
1304,1305,1,1.1862492690286501,0.05992239718836106,127.65979799999941,BTCUSDT/ETHUSDT
1315,1324,9,1.0348371536496934,-0.04485164886177816,100.75830800000232,BTCUSDT/ETHUSDT
1327,1333,6,-1.370834334442569,-4.688717081931343,-409.57144199999766,BTCUSDT/ETHUSDT
1334,1337,3,-3.8329208797027983,-3.305909681505906,11.4793,BTCUSDT/ETHUSDT
1338,1339,1,-3.1832170803030513,-3.2208238577878787,-34.49779199999767,BTCUSDT/ETHUSDT
1340,1341,1,-4.3309988472736825,-3.905116417165249,3.6334480000066818,BTCUSDT/ETHUSDT
1342,1343,1,-4.220160166541652,-4.6526292128704245,-169.14498999999708,BTCUSDT/ETHUSDT
1344,1365,21,-2.855556301820034,0.02237801955555351,607.0952580000023,BTCUSDT/ETHUSDT
1403,1418,15,-1.636722331294558,3.5077720360657394,1087.1396199999986,BTCUSDT/ETHUSDT
1419,1465,46,1.9647185570512304,0.014883690103763064,299.5897659999974,BTCUSDT/ETHUSDT
1474,1498,24,1.2225236127347505,-3.197489571861499,790.8039859999959,BTCUSDT/ETHUSDT
1502,1514,12,1.5437431763971132,0.03635969145594102,230.56423599999593,BTCUSDT/ETHUSDT
1516,1544,28,1.1599728538683662,0.04320430453268764,91.18557000000581,BTCUSDT/ETHUSDT
1553,1627,74,-1.0022750857542344,-0.04694589245373354,-61.98821999999855,BTCUSDT/ETHUSDT
1638,1695,57,-1.0302941457416452,-0.05952621236633589,91.5449220000064,BTCUSDT/ETHUSDT
1696,1698,2,-1.0388908011290974,-3.433195837573309,-326.58109399999825,BTCUSDT/ETHUSDT
1699,1700,1,-4.558297937392654,-5.651875485602771,-225.68303799999651,BTCUSDT/ETHUSDT
1701,1702,1,-2.77173917823195,-3.9215131155771403,-225.33366799999797,BTCUSDT/ETHUSDT
1703,1704,1,-3.8928177159581647,-5.0409486246272035,-290.9852820000093,BTCUSDT/ETHUSDT
1705,1706,1,-4.630586035627382,-3.859174281846501,77.32057199999913,BTCUSDT/ETHUSDT
1707,1708,1,-3.708819855401684,-4.147952288387155,-206.6972739999997,BTCUSDT/ETHUSDT
1709,1710,1,-3.053022865329284,-3.3610020401635228,-156.48781400000405,BTCUSDT/ETHUSDT
1711,1712,1,-4.091324213932212,-3.4480827095682334,108.87367399999971,BTCUSDT/ETHUSDT
