pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ACHUSDT-SANDUSDT,09/30-12/29,-0.50052285,0.0,5,-0.10010457,2,8,2881,0.85526735,-0.7322876
ACHUSDT-XTZUSDT,09/30-12/29,0.8822508,0.0,19,0.046434253,12,26,2881,0.73763764,-1.2847434
ACHUSDT-MANAUSDC,09/30-12/29,0.47312114,0.0,25,0.018924845,12,38,2881,0.94013447,-0.98438007
MANAUSDC-MANAUSDT,09/30-12/29,-0.3491096,0.0,13,-0.026854584,6,20,2881,0.83445656,-0.5310803
GMTUSDC-GMTUSDT,09/30-12/29,0.11511125,0.0,15,0.007674083,8,22,2881,0.16667546,-0.19474094
SANDUSDC-SANDUSDT,09/30-12/29,-0.99558794,0.0,22,-0.045253996,9,35,2881,0.19486187,-0.24756174
JASMYUSDT-NEARUSDT,09/30-12/29,5.2851086,0.0,28,0.18875387,15,41,2881,1.8219695,-1.0126162
ADAUSDC-ADAUSDT,09/30-12/29,-2.4130216,0.0,19,-0.12700114,1,37,2881,0.0383456,-0.18051693
XRPUSDC-XRPUSDT,09/30-12/29,-0.41735983,0.0,18,-0.023186658,7,29,2881,0.16573477,-0.17862205
CHZUSDC-CHZUSDT,09/30-12/29,2.7204247,0.0,19,0.14318025,10,28,2881,2.1311066,-0.52795035
XLMUSDC-XLMUSDT,09/30-12/29,3.409744,0.0,19,0.17946021,13,25,2881,0.96958256,-0.5687876
TRXUSDC-TRXUSDT,09/30-12/29,0.20027749,0.0,22,0.009103523,12,32,2881,0.2180724,-0.14729185
LUNCUSDC-LUNCUSDT,09/30-12/29,1.3689961,0.0,48,0.028520754,27,69,2881,0.9077367,-0.28667128
SHIBUSDC-SHIBUSDT,09/30-12/29,-0.92388594,0.0,19,-0.048625577,7,31,2881,0.36862963,-0.32971033
