,PnL
2023-10-01,0.0
2023-10-02,-0.2852889387868345
2023-10-03,1.758904621237889
2023-10-04,-0.07108058780431747
2023-10-05,-0.1484434970188886
2023-10-06,0.0
2023-10-07,2.520528464578092
2023-10-08,-0.5824602455832064
2023-10-09,0.3243723032064736
2023-10-10,1.4516586735844612
2023-10-11,-0.20632697083055973
2023-10-12,-0.19496257416903973
2023-10-13,-0.6610568482428789
2023-10-14,2.68634613417089
2023-10-15,0.0057029686868190765
2023-10-16,2.244743707589805
2023-10-17,-1.3141773738898337
2023-10-18,0.24444662034511566
2023-10-19,1.4298503072932363
2023-10-20,-0.1068280478939414
2023-10-21,-1.2458473085425794
2023-10-22,1.013294749893248
2023-10-23,2.141399034531787
2023-10-24,9.35097847506404
2023-10-25,0.0
2023-10-26,-5.780496593564749
2023-10-27,1.5063937567174435
2023-10-28,-0.019003418739885092
2023-10-29,-1.329146089265123
2023-10-30,0.19713650736957788
2023-10-31,-0.07124030590057373
2023-11-01,-5.201339074934367
2023-11-02,-0.1765441969037056
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,-0.6815444398671389
2023-11-06,-2.3756965161301196
2023-11-07,0.0
2023-11-08,7.220320389606059
2023-11-09,6.480952152051032
2023-11-10,-2.586239497177303
2023-11-11,0.0
2023-11-12,4.949991489760578
2023-11-13,20.9262549392879
2023-11-14,0.0
2023-11-15,-2.322785039432347
2023-11-16,0.0
2023-11-17,2.0044141528196633
2023-11-18,10.536119647324085
2023-11-19,0.0
2023-11-20,-0.2419291592668742
2023-11-21,-0.8186420807614923
2023-11-22,-8.284585434012115
2023-11-23,1.6483122776262462
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,-0.22698283731006086
2023-11-27,76.17106368066743
2023-11-28,18.060537984594703
2023-11-29,0.3166614817455411
2023-11-30,0.0
2023-12-01,4.065519473981112
2023-12-02,-0.27737954282201827
2023-12-03,0.553547672694549
2023-12-04,0.8615553902927786
2023-12-05,-0.9213463407941163
2023-12-06,-4.082363521680236
2023-12-07,-0.7823667321354151
2023-12-08,0.9732981035485864
2023-12-09,-0.464052215218544
2023-12-10,0.964602435939014
2023-12-11,-0.9749931478872895
2023-12-12,0.0
2023-12-13,0.0180862492416054
2023-12-14,2.1848112535080872
2023-12-15,1.6649996116757393
2023-12-16,1.0682771424762905
2023-12-17,-1.3934393292292953
2023-12-18,1.9394284738227725
2023-12-19,0.0
2023-12-20,-0.28385194577276707
2023-12-21,7.5731619335711
2023-12-22,1.3077342230826616
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.6354643199592829
2023-12-27,0.8725919667631388
2023-12-28,-0.049334052950143814
2023-12-29,-2.5843834169209003
2023-12-30,0.0
