tag,kind,run_id,sharpe,pnl,max_dd,cost_ratio,trades,pairs,costs
zf1,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p12_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf1,2.6802642638083567,822.0744095115515,-365.4691949543485,0.16959638378858588,4291,58,139.4208470582962
zf1,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p12_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf1,2.3320122314178384,674.3300260649994,-386.56574222794734,0.35365039636810985,4291,58,238.4770810008049
zf2,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p13_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf2,2.9585573334234025,937.1069371022022,-325.12945281928114,0.1540453199410531,4270,58,144.35693794488907
zf2,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p13_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf2,2.6107462029448687,783.4740685162833,-347.1474609633442,0.31534768623431786,4270,58,247.06673473119736
zf3,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p14_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf3,3.0546217325277385,1012.7807110295108,-318.18863652445725,0.1448826806829397,4238,58,146.73438435792923
zf3,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p14_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf3,2.7200170037446707,855.5685857436038,-340.7327084101271,0.29361904065125455,4238,58,251.21122735738757
zf4,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf4,3.3383987560721047,1150.5768860024982,-327.3941652867943,0.13102456644060076,4204,58,150.75383764505386
zf4,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf4,3.006652067885646,986.376331236388,-313.6980010410771,0.2617509625187194,4204,58,258.1849541068077
zf5,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p16_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf5,2.8782240373627315,923.026069287851,-380.24645520956255,0.1542434163848911,4178,58,142.37069433927536
zf5,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p16_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_zf5,2.5451901638796834,773.2722114399076,-380.72573293349706,0.315288985679825,4178,58,243.8042111992836
