,PnL
2024-01-01,0.0
2024-01-02,-1.9692962856497616
2024-01-03,11.028166761621833
2024-01-04,42.28671853616834
2024-01-05,50.940125703811646
2024-01-06,-2.1837666612118483
2024-01-07,-9.904305752366781
2024-01-08,-7.971749672666192
2024-01-09,4.61806954536587
2024-01-10,-10.631892690435052
2024-01-11,21.471032183384523
2024-01-12,-19.79464022256434
2024-01-13,23.966822860762477
2024-01-14,10.386949494946748
2024-01-15,19.210739291156642
2024-01-16,27.352355202659965
2024-01-17,2.276088584214449
2024-01-18,28.186624984722584
2024-01-19,16.27863983437419
2024-01-20,21.886135634966195
2024-01-21,7.625033997057471
2024-01-22,-22.880948005244136
2024-01-23,9.999400689266622
2024-01-24,2.3489190973341465
2024-01-25,50.037835652939975
2024-01-26,5.832564881071448
2024-01-27,3.655947530642152
2024-01-28,9.43948209285736
2024-01-29,16.61484673805535
2024-01-30,5.700972294784151
2024-01-31,0.0
2024-02-01,-161.69159305468202
2024-02-02,-0.4780251011252403
2024-02-03,12.655457321554422
2024-02-04,11.09467620914802
2024-02-05,19.215203944593668
2024-02-06,163.84453672915697
2024-02-07,144.163071654737
2024-02-08,23.269312769174576
2024-02-09,-173.0683686621487
2024-02-10,-34.007254080090206
2024-02-11,-29.561319451779127
2024-02-12,-57.71811359003186
2024-02-13,-15.758391416631639
2024-02-14,6.8761909464374185
2024-02-15,-6.398218579590321
2024-02-16,-18.35977686755359
2024-02-17,14.262974761426449
2024-02-18,-10.389388284645975
2024-02-19,12.472379789687693
2024-02-20,-2.8304509008303285
2024-02-21,5.387244306504726
2024-02-22,9.909666419029236
2024-02-23,-22.492195829749107
2024-02-24,0.21252343233209103
2024-02-25,54.1240492425859
2024-02-26,-7.855459320358932
2024-02-27,0.9909450970590115
2024-02-28,-7.476127445697784
2024-02-29,-5.531044716015458
2024-03-01,-0.06315873563289642
2024-03-02,-19.163930853828788
2024-03-03,-82.57595425844193
2024-03-04,47.100865595042706
2024-03-05,-80.36458877660334
2024-03-06,91.52568659186363
2024-03-07,13.614096783101559
2024-03-08,-23.6146188005805
2024-03-09,-13.723707746714354
2024-03-10,-3.874120296910405
2024-03-11,14.323306825011969
2024-03-12,7.758035037666559
2024-03-13,-2.061056036502123
2024-03-14,2.800303637981415
2024-03-15,19.999865297228098
2024-03-16,-2.727762831375003
2024-03-17,35.66410829871893
2024-03-18,-17.077233642339706
2024-03-19,27.786085315048695
2024-03-20,53.81405409798026
2024-03-21,-50.63404282554984
2024-03-22,81.12125215306878
2024-03-23,16.210372276604176
2024-03-24,-10.248142410069704
2024-03-25,-80.8489208444953
2024-03-26,2.3427077289670706
2024-03-27,26.002579156309366
2024-03-28,34.72238104976714
2024-03-29,-30.244500378146768
2024-03-30,-4.071410875767469
2024-03-31,0.21637755632400513
