,PnL
2023-10-01,0.0
2023-10-02,-5.925656951032579
2023-10-03,20.363213509786874
2023-10-04,-9.700712080812082
2023-10-05,11.703285516705364
2023-10-06,-3.0145998913794756
2023-10-07,-0.14589685224927962
2023-10-08,2.253986216674093
2023-10-09,28.669729173649102
2023-10-10,5.354052290320396
2023-10-11,16.773622018285096
2023-10-12,2.7220325097441673
2023-10-13,3.6537059117108583
2023-10-14,-4.125189641024917
2023-10-15,8.45920155197382
2023-10-16,-1.1103146676905453
2023-10-17,65.13375926669687
2023-10-18,5.4263855163007975
2023-10-19,-9.924189903307706
2023-10-20,49.45601614750922
2023-10-21,28.621234816499054
2023-10-22,-15.389217180199921
2023-10-23,14.618432285031304
2023-10-24,46.96444387268275
2023-10-25,2.3620044221170247
2023-10-26,-18.71147843822837
2023-10-27,-3.380124989664182
2023-10-28,-47.610880084335804
2023-10-29,9.896945282816887
2023-10-30,0.5687522608786821
2023-10-31,0.0
2023-11-01,6.285387069583521
2023-11-02,6.870196979842149
2023-11-03,-13.955863962881267
2023-11-04,6.2899532441515476
2023-11-05,6.577229088637978
2023-11-06,0.17748541850596666
2023-11-07,-6.5805623745545745
2023-11-08,0.7178142159245908
2023-11-09,-13.956822570879012
2023-11-10,5.637156702578068
2023-11-11,12.153552999487147
2023-11-12,29.176946653053164
2023-11-13,19.74576214235276
2023-11-14,-28.91210396029055
2023-11-15,-0.5630809740396217
2023-11-16,-0.9959419500082731
2023-11-17,-1.2613127359654754
2023-11-18,19.645713524427265
2023-11-19,8.962019582570065
2023-11-20,19.057774062268436
2023-11-21,9.097051997669041
2023-11-22,-8.944601146969944
2023-11-23,-3.260524645447731
2023-11-24,-10.01526321284473
2023-11-25,4.030589267611504
2023-11-26,-5.61019965459127
2023-11-27,108.10447082854807
2023-11-28,15.520038313232362
2023-11-29,-9.941799562424421
2023-11-30,0.0
2023-12-01,8.68796592002036
2023-12-02,4.647537957876921
2023-12-03,9.610944577027112
2023-12-04,19.28417636267841
2023-12-05,-4.771482012234628
2023-12-06,29.062978418223793
2023-12-07,12.188068909570575
2023-12-08,3.4375936090946198
2023-12-09,12.93451572675258
2023-12-10,4.727123836055398
2023-12-11,-3.253832146525383
2023-12-12,-0.5603337836364517
2023-12-13,10.56821820884943
2023-12-14,14.766907321289182
2023-12-15,7.065524655394256
2023-12-16,-2.6431908160448074
2023-12-17,-7.231396206654608
2023-12-18,14.856185206212103
2023-12-19,-1.5881355656310916
2023-12-20,4.756083559244871
2023-12-21,9.951062956359237
2023-12-22,8.276463389396667
2023-12-23,-8.943940941244364
2023-12-24,-8.726069550961256
2023-12-25,13.706582077778876
2023-12-26,-3.072512509766966
2023-12-27,8.475779686123133
2023-12-28,10.42728566378355
2023-12-29,2.59212061483413
2023-12-30,0.0
2023-12-31,0.9355911847669631
2024-01-01,-8.18740831175819
2024-01-02,10.798649924981873
2024-01-03,101.63699221168645
2024-01-04,-7.434927871450782
2024-01-05,-5.740827135741711
2024-01-06,-0.5144453532993793
2024-01-07,7.056340353563428
2024-01-08,-4.450550626032054
2024-01-09,6.581987449899316
2024-01-10,-6.163420483469963
2024-01-11,30.628832493908703
2024-01-12,-0.596504864282906
2024-01-13,3.7617800422012806
2024-01-14,-8.87266572099179
2024-01-15,4.546394476201385
2024-01-16,-6.183973306324333
2024-01-17,0.09868898615241051
2024-01-18,-1.901633988134563
2024-01-19,-2.732570543885231
2024-01-20,2.3721798984333873
2024-01-21,0.14200984686613083
2024-01-22,-7.986518982797861
2024-01-23,-3.4209677409380674
2024-01-24,2.843851380981505
2024-01-25,3.505515683442354
2024-01-26,0.5066455034539104
2024-01-27,0.11395049095153809
2024-01-28,0.5935238813981414
2024-01-29,-0.036835927516222
2024-01-30,-9.295505976071581
2024-01-31,0.8089055460877717
2024-02-01,4.388838651124388
2024-02-02,0.3934815227985382
2024-02-03,-17.73464912502095
2024-02-04,0.06619059713557363
2024-02-05,-1.2785049653612077
2024-02-06,4.7762298753950745
2024-02-07,-22.573655245127156
2024-02-08,-6.763811783399433
2024-02-09,-2.179011414758861
2024-02-10,-0.7894066423177719
2024-02-11,0.8695791678037494
2024-02-12,-4.3348811864852905
2024-02-13,4.154064488131553
2024-02-14,3.3492093352251686
2024-02-15,-0.44293461088091135
2024-02-16,-0.6654614750295877
2024-02-17,2.6386235132813454
2024-02-18,-7.1926839128136635
2024-02-19,15.954685443080962
2024-02-20,-0.45273908600211143
2024-02-21,8.278290413320065
2024-02-22,2.6430222732014954
2024-02-23,-1.5423221662640572
2024-02-24,1.2748432978987694
2024-02-25,-5.540224947035313
2024-02-26,2.714848969131708
2024-02-27,-14.137076321989298
2024-02-28,0.0
