s1,s2,reason
COMPUSDT,GMXUSDT,pvalue_0.325
ETCUSDT,XRPUSDT,pvalue_0.131
AXSUSDT,CHZUSDT,pvalue_0.328
INTERUSDT,XRPUSDC,kpss
INTERUSDT,ZILUSDT,kpss
INTERUSDT,MANAUSDC,kpss
INTERUSDT,USTCUSDT,low_correlation_0.32
QTUMUSDT,THETAUSDT,kpss
CITYUSDT,JUVUSDT,hurst_too_high (0.71)
ARKMUSDT,RPLUSDT,low_correlation_0.08
ARKMUSDT,DOTUSDC,low_correlation_0.27
ARKMUSDT,MNTUSDC,low_correlation_-0.18
BICOUSDT,PIPUSDT,hurst_too_high (0.72)
THETAUSDT,XRPUSDT,kpss
HFTUSDT,ICPUSDC,kpss
1INCHUSDT,SCUSDT,pvalue_0.780
RSS3USDT,RVNUSDT,kpss
ADAUSDC,PSGUSDT,pvalue_0.244
BATUSDT,PEOPLEUSDT,low_correlation_-0.09
ICXUSDT,WAXPUSDT,kpss
MVUSDT,SUIUSDC,kpss
OASUSDT,TRVLUSDT,kpss
PEOPLEUSDT,THETAUSDT,low_correlation_0.16
SUNUSDT,ZRXUSDT,pvalue_0.222
RACAUSDT,SANDBTC,kpss
RPLUSDT,SDUSDT,kpss
ETCUSDT,XRPUSDC,pvalue_0.132
AXSUSDT,GMTUSDT,hurst_too_high (0.88)
INTERUSDT,XRPUSDT,kpss
INTERUSDT,LTCUSDC,kpss
DYDXUSDT,QNTUSDT,pvalue_0.146
PSGUSDT,VPADUSDT,pvalue_0.197
AFCUSDT,MDAOUSDT,kpss
JUVUSDT,VPADUSDT,pvalue_0.166
ARKMUSDT,IZIUSDT,low_correlation_-0.31
SFUNDUSDT,VPADUSDT,kpss
HFTUSDT,PSGUSDT,hurst_too_high (0.82)
HFTUSDT,SUIUSDC,pvalue_0.250
HFTUSDT,ICPUSDT,hurst_too_high (0.98)
CTCUSDT,DOTUSDC,hurst_too_high (0.89)
RSS3USDT,SCRTUSDT,pvalue_0.221
FLOWUSDT,MANAUSDT,hurst_too_high (0.94)
ADAUSDT,PSGUSDT,pvalue_0.245
FORTUSDT,ICPUSDT,low_correlation_-0.41
ALGOUSDT,IMXUSDT,kpss
MVUSDT,SUIUSDT,kpss
ROSEUSDT,USTCUSDT,pvalue_0.442
DAIUSDT,QTUMUSDT,low_correlation_-0.08
ANKRUSDT,MANAUSDT,kpss
LTCBTC,LUNCUSDC,kpss
FLOKIUSDT,SANDBTC,low_correlation_0.04
EGLDUSDT,UNIUSDT,pvalue_0.950
MOVRUSDT,SCRTUSDT,pvalue_0.480
AXSUSDT,GMTUSDC,kpss
INTERUSDT,ZENUSDT,kpss
INTERUSDT,LTCUSDT,kpss
INTERUSDT,MASKUSDT,hurst_too_high (0.75)
OPUSDC,PSGUSDT,pvalue_0.124
CITYUSDT,VPADUSDT,pvalue_0.190
ARKMUSDT,OPUSDT,low_correlation_0.44
ARKMUSDT,ENSUSDT,low_correlation_0.31
NEARUSDT,XTZUSDT,low_correlation_-0.11
HFTUSDC,PSGUSDT,pvalue_0.141
HFTUSDT,SUIUSDT,pvalue_0.249
OMGUSDT,RDNTUSDT,pvalue_0.571
CTCUSDT,VPADUSDT,pvalue_0.674
RSS3USDT,XTZUSDT,kpss
FLOWUSDT,MANAUSDC,kpss
FORTUSDT,VPADUSDT,low_correlation_-0.63
FORTUSDT,ICPUSDC,low_correlation_-0.41
ALGOUSDT,USTCUSDT,pvalue_0.121
MVUSDT,OPUSDC,pvalue_0.363
DOGEUSDC,ETHWUSDT,kpss
DAIUSDT,XTZUSDT,low_correlation_-0.08
USDCUSDT,XTZUSDT,low_correlation_-0.34
LTCBTC,LUNCUSDT,kpss
XECUSDT,ZILUSDT,hurst_too_high (0.90)
TIMEUSDT,ZENUSDT,low_correlation_0.35
AXSUSDT,UNIUSDT,pvalue_0.911
AXSUSDT,SANDUSDT,pvalue_0.184
INTERUSDT,STXUSDT,kpss
APEUSDT,PSTAKEUSDT,kpss
HNTUSDT,SDUSDT,kpss
OPUSDT,PSGUSDT,pvalue_0.124
ETHWUSDT,GMTUSDC,hurst_too_high (0.97)
ARKMUSDT,OPUSDC,low_correlation_0.44
ARKMUSDT,SFUNDUSDT,low_correlation_-0.22
HFTUSDT,SDUSDT,hurst_too_high (0.93)
HFTUSDC,RPLUSDT,kpss
HFTUSDC,SUIUSDC,pvalue_0.241
CELOUSDT,ZRXUSDT,kpss
GODSUSDT,HBARUSDT,low_correlation_0.24
RSS3USDT,UNIUSDT,low_correlation_0.40
BATUSDT,QTUMUSDT,hurst_too_high (0.87)
FORTUSDT,JUVUSDT,low_correlation_-0.50
ALGOUSDT,WAXPUSDT,kpss
MVUSDT,OPUSDT,pvalue_0.366
DOGEUSDT,ETHWUSDT,kpss
DAIUSDT,XRPUSDC,low_correlation_0.11
ONEUSDT,XRPUSDC,kpss
LTCBTC,RVNUSDT,kpss
ALGOBTC,XECUSDT,pvalue_0.203
TIMEUSDT,WAVESUSDT,low_correlation_0.27
DOTUSDC,VPADUSDT,pvalue_0.777
AXSUSDT,SANDUSDC,kpss
INTERUSDT,ROSEUSDT,kpss
APEUSDC,PSTAKEUSDT,kpss
INTERUSDT,PEOPLEUSDT,low_correlation_-0.12
OPUSDC,VPADUSDT,pvalue_0.716
AFCUSDT,VPADUSDT,hurst_too_high (0.81)
ARKMUSDT,NEXOUSDT,low_correlation_0.30
SUSHIUSDT,UMAUSDT,pvalue_0.154
CELOUSDT,SCUSDT,beta_out_of_range (119.15)
HFTUSDT,RPLUSDT,kpss
HFTUSDC,SUIUSDT,pvalue_0.242
HFTUSDC,MOVRUSDT,pvalue_0.274
MANAUSDT,XRPUSDC,hurst_too_high (0.98)
BATUSDT,THETAUSDT,kpss
FORTUSDT,PSTAKEUSDT,low_correlation_-0.54
FORTUSDT,PSGUSDT,low_correlation_-0.11
ALGOUSDT,ROSEUSDT,kpss
MVUSDT,SFUNDUSDT,kpss
ROSEUSDT,WAXPUSDT,kpss
DAIUSDT,XRPUSDT,low_correlation_0.11
ONEUSDT,XRPUSDT,kpss
SONUSDT,XRPBTC,low_correlation_0.01
TIMEUSDT,UMAUSDT,kpss
ARUSDT,FILUSDT,low_correlation_-0.25
INTERUSDT,THETAUSDT,hurst_too_high (0.80)
INTERUSDT,SOLOUSDT,kpss
MASKUSDT,XRPUSDC,kpss
INTERUSDT,UMAUSDT,low_correlation_0.10
OPUSDT,VPADUSDT,pvalue_0.717
CITYUSDT,DOTUSDC,kpss
ARKMUSDT,HNTUSDT,low_correlation_0.13
ARKMUSDT,PSGUSDT,low_correlation_-0.15
ARKMUSDT,LDOUSDT,low_correlation_0.05
BICOUSDT,IMXUSDT,kpss
THETAUSDT,XRPUSDC,kpss
BICOUSDT,CRVUSDT,kpss
HFTUSDT,MOVRUSDT,pvalue_0.232
RSS3USDT,SFUNDUSDT,pvalue_0.224
MANAUSDT,XRPUSDT,hurst_too_high (0.97)
WOOUSDT,XRPUSDT,hurst_too_high (0.98)
FORTUSDT,SDUSDT,low_correlation_-0.61
FORTUSDT,SFUNDUSDT,low_correlation_-0.61
MVUSDT,TWTUSDT,pvalue_0.689
GRTUSDT,RDNTUSDT,pvalue_0.657
WAXPUSDT,ZILUSDT,kpss
DAIUSDT,LTCBTC,low_correlation_0.03
ACSUSDT,MCRTUSDT,hurst_too_high (0.79)
SONUSDT,TELUSDT,low_correlation_-0.54
ETHUSDC,ETHUSDT,hurst_too_high (0.99)
DOTUSDT,SDUSDT,pvalue_0.161
INTERUSDT,LUNAUSDT,hurst_too_high (0.84)
INTERUSDT,WAXPUSDT,kpss
MASKUSDT,XRPUSDT,kpss
INTERUSDT,XEMUSDT,kpss
AFCUSDT,DOTUSDC,pvalue_0.198
CITYUSDT,DOTUSDT,kpss
CAKEUSDT,VPADUSDT,pvalue_0.789
ARKMUSDT,NEARUSDT,kpss
ARKMUSDT,LDOUSDC,low_correlation_0.05
HFTUSDC,VPADUSDT,pvalue_0.488
HFTUSDT,JUVUSDT,hurst_too_high (0.95)
HFTUSDC,ICPUSDC,kpss
CTCUSDT,SDUSDT,kpss
RSS3USDT,SDUSDT,kpss
MANAUSDC,XRPUSDC,hurst_too_high (0.98)
WOOUSDT,XRPUSDC,hurst_too_high (0.99)
BATUSDT,LTCUSDC,kpss
