s1,s2,reason
FILUSDT,SHIBUSDT,beta_out_of_range (768471.05)
SHIBUSDT,ZENUSDT,beta_out_of_range (0.00)
ETHUSDC,QTUMUSDT,beta_out_of_range (605.80)
ETHUSDT,QTUMUSDT,beta_out_of_range (605.09)
ADAUSDT,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,ETHUSDC,beta_out_of_range (0.00)
ZENUSDT,ZILUSDT,beta_out_of_range (415.41)
ETHUSDC,FILUSDT,beta_out_of_range (166.09)
ETHUSDT,FILUSDT,beta_out_of_range (165.88)
ETHDAI,QTUMUSDT,beta_out_of_range (605.73)
FILUSDT,ONEUSDT,beta_out_of_range (164.85)
DOGEUSDT,SHIBUSDT,beta_out_of_range (5719.20)
ETHDAI,FILUSDT,beta_out_of_range (166.12)
ADAUSDT,ETHDAI,beta_out_of_range (0.00)
ADAUSDT,STETHUSDT,beta_out_of_range (0.00)
NEARUSDT,SHIBUSDT,beta_out_of_range (669665.35)
FILUSDT,SLPUSDT,beta_out_of_range (1085.70)
ALGOUSDT,ETHUSDC,beta_out_of_range (0.00)
ALGOUSDT,ETHUSDT,beta_out_of_range (0.00)
SLPUSDT,ZENUSDT,beta_out_of_range (0.00)
ADAUSDT,BTCUSDT,beta_out_of_range (0.00)
ETHUSDC,NEARUSDT,beta_out_of_range (190.72)
ETHUSDT,NEARUSDT,beta_out_of_range (190.53)
ADAUSDT,BTCUSDC,beta_out_of_range (0.00)
AVAXUSDT,SHIBUSDT,beta_out_of_range (3576744.13)
DGBUSDT,ZENUSDT,beta_out_of_range (0.00)
ALGOUSDT,ETHDAI,beta_out_of_range (0.00)
ETHUSDC,SHIBUSDT,beta_out_of_range (124739008.26)
ETHUSDT,SHIBUSDT,beta_out_of_range (124530756.95)
BTCUSDC,ZENUSDT,beta_out_of_range (866.24)
ETHDAI,NEARUSDT,beta_out_of_range (190.78)
GALAUSDT,SHIBUSDT,beta_out_of_range (7041.17)
BTCUSDT,ZENUSDT,beta_out_of_range (864.45)
ALGOUSDT,STETHUSDT,beta_out_of_range (0.00)
ADAUSDT,WBTCUSDT,beta_out_of_range (0.00)
