tag,kind,run_id,sharpe,pnl,max_dd,cost_ratio,trades,pairs,costs
ms1,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p16_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms1,3.0969945339643083,1035.1721288478002,-368.3931854441762,0.13989330853286452,4206,58,144.8136540055275
ms1,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p16_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms1,2.7644375936423176,877.3672620347934,-376.4841560947243,0.2826155948125534,4206,58,247.9576706290245
ms2,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p18_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms2,3.102943361935268,1037.7172730036546,-369.16403667023405,0.13921148784230322,4205,58,144.4621655344963
ms2,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p18_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms2,2.7702845873857034,879.7245187769295,-374.6478140563704,0.28115901554055034,4205,58,247.3424796462059
ms3,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms3,3.3383987560721047,1150.5768860024982,-327.3941652867943,0.13102456644060076,4204,58,150.75383764505386
ms3,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p2_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms3,3.006652067885646,986.376331236388,-313.6980010410771,0.2617509625187194,4204,58,258.1849541068077
ms4,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p22_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms4,3.134088274129167,1018.3773976215452,-306.2246818318963,0.14549599144308226,4199,58,148.16982913017273
ms4,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p22_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms4,2.793071306819359,862.6133067906485,-307.3254670968745,0.2942688838256583,4199,58,253.8402549624443
ms5,holdout,holdout_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p24_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms5,3.2590305206000587,1071.9116586531163,-313.36759113520384,0.13950748174982905,4198,58,149.5396961569786
ms5,stress,stress_relaxed8_nokpss_20260212_oos20230501_20240430_top250_z1p15_exit0p08_hold300_cd300_ms0p24_cap1000_maxnot1000_risk0p015_minnot5_maxpairs24_corr0p34_pv0p35_ms5,2.916735913002226,912.8001774054136,-302.2868436705321,0.28064528045583925,4198,58,256.1730617880821
