s1,s2,reason
COMPUSDT,SHIBUSDT,beta_out_of_range (7009658.18)
WAVESUSDT,ZILUSDT,beta_out_of_range (133.18)
COMPUSDT,RVNUSDT,beta_out_of_range (2536.24)
SANDUSDC,XECUSDT,beta_out_of_range (20640.32)
AXSUSDT,GALAUSDT,beta_out_of_range (176.57)
SANDUSDT,XECUSDT,beta_out_of_range (20622.96)
LTCEUR,RVNUSDT,beta_out_of_range (1519.98)
KAVAUSDT,SHIBUSDC,beta_out_of_range (119866.87)
KAVAUSDT,SHIBUSDT,beta_out_of_range (119973.77)
COMPUSDT,LRCUSDT,beta_out_of_range (190.89)
ETHEUR,OPUSDC,beta_out_of_range (669.40)
COMPUSDT,XECUSDT,beta_out_of_range (1809398.88)
ETHEUR,OPUSDT,beta_out_of_range (669.92)
ICPUSDT,RVNUSDT,beta_out_of_range (325.08)
ICPUSDC,RVNUSDT,beta_out_of_range (324.91)
DOTUSDT,HBARUSDT,beta_out_of_range (100.70)
DOTUSDC,HBARUSDT,beta_out_of_range (100.79)
HBARUSDT,SHIBUSDT,beta_out_of_range (8856.74)
HBARUSDT,SHIBUSDC,beta_out_of_range (8848.42)
LTCUSDC,RVNUSDT,beta_out_of_range (1994.47)
WAVESUSDT,XECUSDT,beta_out_of_range (108293.69)
LTCUSDT,RVNUSDT,beta_out_of_range (1990.66)
FILUSDT,ONEUSDT,beta_out_of_range (292.76)
JASMYUSDT,KSMUSDT,beta_out_of_range (0.00)
MASKUSDT,ONEUSDT,beta_out_of_range (178.74)
LTCEUR,ONEUSDT,beta_out_of_range (1264.80)
BELUSDT,LUNCUSDT,beta_out_of_range (2057.40)
JASMYUSDT,LTCUSDC,beta_out_of_range (0.00)
COMPUSDT,HBARUSDT,beta_out_of_range (732.81)
SHIBUSDT,WAVESUSDT,beta_out_of_range (0.00)
SANDBTC,SANDUSDT,beta_out_of_range (0.00)
SHIBUSDC,WAVESUSDT,beta_out_of_range (0.00)
JASMYUSDT,LTCUSDT,beta_out_of_range (0.00)
FILUSDC,ONEUSDT,beta_out_of_range (292.98)
FILUSDT,SHIBUSDT,beta_out_of_range (921235.39)
FILUSDT,SHIBUSDC,beta_out_of_range (920384.49)
KSMUSDT,ONEUSDT,beta_out_of_range (1628.32)
COMPUSDT,RDNTUSDT,beta_out_of_range (193.36)
FILUSDC,SHIBUSDC,beta_out_of_range (921123.19)
SANDBTC,SANDUSDC,beta_out_of_range (0.00)
KSMUSDT,RVNUSDT,beta_out_of_range (1893.42)
FILUSDC,SHIBUSDT,beta_out_of_range (921967.12)
ONEUSDT,SHIBUSDC,beta_out_of_range (3108.68)
AXSUSDT,JASMYUSDT,beta_out_of_range (935.97)
ONEUSDT,SHIBUSDT,beta_out_of_range (3111.34)
AXSUSDT,ONEUSDT,beta_out_of_range (389.85)
LTCEUR,RDNTUSDT,beta_out_of_range (135.63)
COMPUSDT,IDUSDT,beta_out_of_range (121.14)
LTCUSDT,ONEUSDT,beta_out_of_range (1682.27)
MASKUSDT,RVNUSDT,beta_out_of_range (204.02)
AXSUSDT,LUNCUSDT,beta_out_of_range (55592.69)
LTCUSDC,ONEUSDT,beta_out_of_range (1685.51)
ATOMUSDT,JASMYUSDT,beta_out_of_range (1268.23)
IMXUSDT,JASMYUSDT,beta_out_of_range (344.11)
ETHDAI,OPUSDC,beta_out_of_range (813.90)
JASMYUSDT,LTCEUR,beta_out_of_range (0.00)
ETHDAI,OPUSDT,beta_out_of_range (814.53)
LTCUSDT,RDNTUSDT,beta_out_of_range (161.53)
LTCUSDC,RDNTUSDT,beta_out_of_range (161.79)
ENSUSDT,SHIBUSDC,beta_out_of_range (1030335.81)
ENSUSDT,SHIBUSDT,beta_out_of_range (1031297.98)
MANAUSDC,XECUSDT,beta_out_of_range (24576.48)
DOTUSDC,XECUSDT,beta_out_of_range (233447.86)
DOTUSDT,XECUSDT,beta_out_of_range (233232.74)
ETHUSDT,PEPEUSDT,beta_out_of_range (699673302.59)
ARBUSDC,SHIBUSDT,beta_out_of_range (164915.17)
ETHUSDC,PEPEUSDT,beta_out_of_range (700457618.94)
JASMYUSDT,SHIBUSDC,beta_out_of_range (1221.17)
ARBUSDT,SHIBUSDT,beta_out_of_range (164713.84)
JASMYUSDT,SHIBUSDT,beta_out_of_range (1222.36)
MANAUSDT,XECUSDT,beta_out_of_range (24557.85)
PEPEUSDT,STETHUSDT,beta_out_of_range (0.00)
ARBUSDC,SHIBUSDC,beta_out_of_range (164778.86)
DOTUSDT,ZILUSDT,beta_out_of_range (295.83)
RDNTUSDT,STETHUSDT,beta_out_of_range (0.00)
BNBUSDT,JASMYUSDT,beta_out_of_range (14861.27)
ICPUSDC,ZILUSDT,beta_out_of_range (281.68)
COMPUSDT,SPELLUSDT,beta_out_of_range (74116.98)
SHIBUSDC,ZILUSDT,beta_out_of_range (0.00)
ARBUSDT,SHIBUSDC,beta_out_of_range (164576.24)
ICPUSDT,ZILUSDT,beta_out_of_range (281.83)
COMPUSDT,ROSEUSDT,beta_out_of_range (298.85)
DOTUSDC,ZILUSDT,beta_out_of_range (296.11)
SHIBUSDT,ZILUSDT,beta_out_of_range (0.00)
ETHUSDC,RDNTUSDT,beta_out_of_range (6409.98)
ETHUSDT,RDNTUSDT,beta_out_of_range (6401.25)
BELUSDT,SHIBUSDT,beta_out_of_range (54958.57)
SHIBUSDT,XTZUSDT,beta_out_of_range (0.00)
HOOKUSDT,LUNCUSDT,beta_out_of_range (5732.27)
CHZUSDT,SHIBUSDT,beta_out_of_range (12707.44)
CHZUSDT,SHIBUSDC,beta_out_of_range (12697.75)
SHIBUSDC,XTZUSDT,beta_out_of_range (0.00)
BELUSDT,SHIBUSDC,beta_out_of_range (54915.45)
SANDUSDC,SPELLUSDT,beta_out_of_range (824.81)
ADAUSDC,SHIBUSDT,beta_out_of_range (78061.31)
ADAUSDC,SHIBUSDC,beta_out_of_range (77992.83)
ETCUSDT,JASMYUSDT,beta_out_of_range (2019.13)
XECUSDT,XTZUSDT,beta_out_of_range (0.00)
