symbol,quote,retrieved_at_utc,last_price,turnover24h_usd,volume24h,bid1,ask1,bid_ask_pct,funding_rate,funding_rate_abs,tick_size,tick_size_pct,launch_time_ms,days_live
DYDXUSDT,USDT,2026-02-23T09:39:56Z,0.09276,5856364.7379,63479226.6,0.09277,0.09278,0.000107787658313,-0.00043501,0.00043501,1e-05,0.0001078050884,1633910400000,1596.40274913
ENJUSDT,USDT,2026-02-23T09:39:56Z,0.019304,168260.4589,8765871.5,0.019304,0.019315,0.000569667780108,-0.00089067,0.00089067,1e-06,5.18027351844e-05,1635696000000,1575.73608247
ETCUSDT,USDT,2026-02-23T09:39:56Z,8.398,12074013.2535,1431552.6,8.399,8.4,0.000119054705637,-2.097e-05,2.097e-05,0.001,0.000119075970469,1624950240000,1700.10830469
ETHDAI,OTHER,2026-02-23T09:39:56Z,,,,,,,,,,,,
ETHEUR,OTHER,2026-02-23T09:39:56Z,,,,,,,,,,,,
ETHUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
ETHUSDT,USDT,2026-02-23T09:39:56Z,1907.77,2515553674,1318190.86,1907.77,1907.78,5.24170827272e-06,-5.216e-05,5.216e-05,0.01,5.24172201051e-06,1615766400000,1806.40274913
ETHWUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
EVERUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FETUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FIDAUSDT,USDT,2026-02-23T09:39:56Z,0.016671,971588.8175,60135286,0.01666,0.016671,0.000660046203234,0.00025254,0.00025254,1e-06,5.99844040549e-05,1727254994000,516.025503762
FILUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
FILUSDT,USDT,2026-02-23T09:39:56Z,0.9137,9177447.1129,10144552.5,0.9137,0.9138,0.000109439124487,-7.558e-05,7.558e-05,0.0001,0.000109445113276,1624950900000,1700.1006658
FIREUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FITFIUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FLIPUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FLOKIUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FMBUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FMCUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FTTUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
FXSUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
GALAUSDT,USDT,2026-02-23T09:39:56Z,0.003608,16742277.777,4701043239,0.003608,0.003609,0.000277123458501,-0.000207,0.000207,1e-06,0.000277161862528,1636416000000,1567.40274913
GENEUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
GLMRUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
GMTUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
GMTUSDT,USDT,2026-02-23T09:39:56Z,0.011144,2588698.7045,230476964,0.011145,0.011146,8.97223094522e-05,1.25e-05,1.25e-05,1e-06,8.97343862168e-05,1647667511000,1437.17692737
GODSUSDT,USDT,2026-02-23T09:39:56Z,0.03295,135035.1669,4055210,0.03293,0.033,0.0021234642803,5e-05,5e-05,1e-05,0.000303490136571,1700629341000,824.192783854
GRTUSDT,USDT,2026-02-23T09:39:56Z,0.02678,1320726.8823,50151062.9,0.02678,0.02679,0.000373343289154,-7.537e-05,7.537e-05,1e-05,0.000373412994772,1638748800000,1540.40274913
GSTUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
GSWIFTUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
GTAIUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
HOOKUSDT,USDT,2026-02-23T09:39:56Z,0.02295,124282.0312,5371841.4,0.02292,0.02295,0.00130804447351,0.0001,0.0001,1e-05,0.000435729847495,1675758352000,1112.05145284
ICXUSDT,USDT,2026-02-23T09:39:56Z,0.03635,265851.9748,7294726,0.03629,0.03635,0.00165198237885,-0.00025504,0.00025504,1e-05,0.000275103163686,1649830935000,1412.13729774
INJUSDT,USDT,2026-02-23T09:39:56Z,3.414,18165080.4241,5196019.9,3.413,3.414,0.000292954445584,-7.875e-05,7.875e-05,0.001,0.000292911540715,1660694400000,1286.40274913
INSPUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
JASMYUSDT,USDT,2026-02-23T09:39:56Z,0.005781,2718574.4134,489097781,0.005777,0.005782,0.000865126741068,-4.098e-05,4.098e-05,1e-06,0.000172980453209,1642574202000,1496.12726302
JSTUSDT,USDT,2026-02-23T09:39:56Z,0.044728,422202.1951,9787520,0.044706,0.044748,0.000939030116037,0.0001,0.0001,1e-06,2.23573600429e-05,1645166741000,1466.12102459
JUPUSDT,USDT,2026-02-23T09:39:56Z,0.14813,4772743.9838,32449317,0.14812,0.14813,6.75105485233e-05,5e-05,5e-05,1e-05,6.7508269763e-05,1706716267000,753.742251447
KASTAUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
KAVAUSDT,USDT,2026-02-23T09:39:56Z,0.0499,765607.7576,15231588.6,0.0499,0.04993,0.000601021736953,8.969e-05,8.969e-05,1e-05,0.000200400801603,1641801287000,1505.07303848
KCALUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
KCSUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
KSMUSDT,USDT,2026-02-23T09:39:56Z,4.741,1401569.9847,301366.41,4.741,4.744,0.000632577754349,-0.00032455,0.00032455,0.001,0.000210925964986,1633996800000,1595.40274913
KUBUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
LADYSUSDT,USDT,2026-02-23T09:39:56Z,,,,,,,,,,,,
LDOUSDC,USDC,2026-02-23T09:39:56Z,,,,,,,,,,,,
LDOUSDT,USDT,2026-02-23T09:39:56Z,0.3076,7829119.3224,25875874.6,0.3076,0.3077,0.000325044693645,0.0001,0.0001,0.0001,0.000325097529259,1658300019000,1314.11549219
