dstop,holdout_costs,stress_costs,holdout_dd,stress_dd,holdout_pairs,stress_pairs,holdout_pnl,stress_pnl,holdout_sharpe,stress_sharpe,holdout_trades,stress_trades
0p01,68.83732450008392,120.95215797424316,-226.24792880163292,-237.8842930681421,19.0,19.0,932.5230177400808,871.3938854272128,5.673204599356701,5.388034525534282,1542.0,1542.0
0p02,68.83732450008392,120.95215797424316,-226.24792880163292,-237.8842930681421,19.0,19.0,932.5230177400808,871.3938854272128,5.673204599356701,5.388034525534282,1542.0,1542.0
0p03,68.83732450008392,120.95215797424316,-226.24792880163292,-237.8842930681421,19.0,19.0,932.5230177400808,871.3938854272128,5.673204599356701,5.388034525534282,1542.0,1542.0
