,PnL
2024-01-01,0.0
2024-01-02,-52.87692915368825
2024-01-03,-100.07325790915638
2024-01-04,5.890918089076877
2024-01-05,183.7388061704114
2024-01-06,19.026457879692316
2024-01-07,-22.57890343735926
2024-01-08,13.760414810851216
2024-01-09,8.833580384030938
2024-01-10,-11.925963348010555
2024-01-11,34.28494079783559
2024-01-12,14.901973027270287
2024-01-13,45.05944241769612
2024-01-14,-7.8133281990885735
2024-01-15,26.379152056062594
2024-01-16,21.42837791517377
2024-01-17,-24.814040903002024
2024-01-18,-2.8714262591674924
2024-01-19,2.911582973320037
2024-01-20,22.113808846101165
2024-01-21,10.246910874499008
2024-01-22,-23.073041282594204
2024-01-23,12.043529391288757
2024-01-24,8.297279666177928
2024-01-25,55.095967434346676
2024-01-26,22.802697086706758
2024-01-27,45.696759056299925
2024-01-28,12.062765731476247
2024-01-29,43.58381996117532
2024-01-30,8.972551049664617
2024-01-31,0.0
2024-02-01,-305.02502535283566
2024-02-02,44.10807332396507
2024-02-03,14.715956002473831
2024-02-04,-13.555781088769436
2024-02-05,6.758372060954571
2024-02-06,185.16633350402117
2024-02-07,166.1286489777267
2024-02-08,92.58819931000471
2024-02-09,-293.46639448031783
2024-02-10,-3.851841162890196
2024-02-11,-23.838511005975306
2024-02-12,-24.21081413514912
2024-02-13,-32.162001088261604
2024-02-14,-9.77105881460011
2024-02-15,-22.14507258683443
2024-02-16,-13.945050510577857
2024-02-17,26.229977199807763
2024-02-18,-11.545696492306888
2024-02-19,11.329211726784706
2024-02-20,-9.823245173320174
2024-02-21,19.92343159671873
2024-02-22,-15.221443130169064
2024-02-23,-19.327664921060205
2024-02-24,-4.875551383942366
2024-02-25,71.04150305315852
2024-02-26,-22.28371229209006
2024-02-27,6.526099495589733
2024-02-28,-1.6646119207143784
2024-02-29,-4.637551374733448
2024-03-01,-0.038390934467315674
2024-03-02,-22.14430157467723
2024-03-03,11.659651156514883
2024-03-04,-5.9892092645168304
2024-03-05,-50.93338321894407
2024-03-06,139.4489095285535
2024-03-07,62.72523694857955
2024-03-08,-26.453998614102602
2024-03-09,-8.842740524560213
2024-03-10,-5.998412376269698
2024-03-11,20.914893977344036
2024-03-12,11.716835107654333
2024-03-13,-11.539012212306261
2024-03-14,-10.558673981577158
2024-03-15,8.724112134426832
2024-03-16,-5.449989994987845
2024-03-17,4.079984068870544
2024-03-18,-4.317700579762459
2024-03-19,5.829519502818584
2024-03-20,79.55219568312168
2024-03-21,66.22566908597946
2024-03-22,64.39936247467995
2024-03-23,55.35851191729307
2024-03-24,-42.06512701138854
2024-03-25,-170.23592748492956
2024-03-26,-7.857458766549826
2024-03-27,-40.62085907626897
2024-03-28,36.9849123544991
2024-03-29,-103.45258869230747
2024-03-30,3.076232474297285
2024-03-31,0.0
