s1,s2,beta,mean,std,half_life,pvalue,hurst,mean_crossings
ALGOUSDT,PSTAKEUSDT,0.6310873924306661,0.356177775785662,0.23608724127260478,1.1238479626760816,0.018407672521701283,0,13
LTCUSDT,TAPUSDT,0.9493269472015968,0.46586935289106524,0.23601734671223346,0.7689698275895059,0.005061098664825492,0,10
ANKRUSDT,PSTAKEUSDT,0.5652459669880976,0.3334934435233764,0.23595031071059336,1.2661237860738375,0.02053387437870086,0,19
CTCUSDT,SOLUSDT,0.21921338561387918,0.37311980514237414,0.23590305038807305,1.9140716121799977,0.027709275513905462,0,62
ANKRUSDT,BCHUSDT,0.342165776882099,0.3710817398303101,0.23588344834379515,2.5409154169806882,0.043228421990380156,0,17
CTCUSDT,SOLUSDC,0.21958527912727446,0.37331088803580353,0.23587384680287407,1.912364423990295,0.02790434220664975,0,64
JASMYUSDT,PSTAKEUSDT,0.6897654306812593,0.2781209526579522,0.23573283679450308,1.0109872800505773,0.030378547238598737,0,5
AGLAUSDT,EGOUSDT,0.1586220950199904,0.5279112660120799,0.23569953107634287,0.5123444440072401,0.015066423461369265,0,23
THETAUSDT,VPADUSDT,0.5995404302688994,0.2749480635325827,0.23564852400816771,1.1791583998318473,0.029679239885539922,0,49
HVHUSDT,ORTUSDT,1.3966652927527374,0.0823396454512719,0.23551479448679696,0.6816950868599827,0.006325720241963584,0,55
MANABTC,WBTCBTC,0.4274118513439912,0.30094425646768447,0.23543908400907457,1.5631177576520545,0.025989038595556496,0,19
CTCUSDT,SANDUSDT,0.2005586271971184,0.3829082179333431,0.23543689610753202,2.008644565296125,0.03881555350847875,0,48
CTCUSDT,SANDUSDC,0.20236580692847705,0.38221408341142754,0.23538266452498924,1.956540561769116,0.03956121628968647,0,52
CTCUSDT,SOLEUR,0.24726992414993632,0.36069353896814127,0.23520044248186658,1.8634044145731394,0.020283335138178062,0,64
FLOKIUSDT,THNUSDT,0.9293203672835278,0.36604555935369126,0.23514625268032863,0.7076489048907219,0.03962164451075899,0,29
LMWRUSDT,WBTCBTC,0.5500803462263008,0.2592606644902864,0.23490539694895252,1.0746313138999704,0.047603191938958796,0,15
FMCUSDT,IZIUSDT,0.48422338956887656,0.2530010892739972,0.23487210773787728,1.4348529504078111,0.022670198231268614,0,13
GENEUSDT,TAPUSDT,1.167953886755105,0.22208533385298077,0.234545958676219,0.5486486733457567,0.0002108022626116353,0,25
MVLUSDT,USDCUSDT,0.33523811607195547,0.441905860524928,0.23422654411028973,0.6879751513197977,0.03551607059165357,0,63
LTCBTC,TRCUSDT,0.808665412064286,0.3664896960454429,0.2341642091514846,1.5919131731171743,0.005300232543423138,0,21
ENSUSDT,TRVLUSDT,1.666930258152778,0.19927075754891094,0.23411370134940465,0.8227688273852588,0.007372358539776783,0,51
DOGEUSDT,ORDIUSDT,0.7617418779884271,0.27106414526120054,0.23398495377354345,2.012712815258202,0.045220416922360014,0,45
RPKUSDT,XECUSDT,0.22816091610624295,0.19727034288176679,0.23389200479595817,2.531738704818246,0.008116625104660515,0,25
SANDBTC,WBTCBTC,0.38470347122015114,0.30323514119275996,0.23379743766683525,1.5904919111466211,0.010343821485589494,0,19
CTCUSDT,PSGUSDT,0.36906608398538954,0.35216327099010947,0.23376954291575983,1.3108833670382303,0.04991097435801776,0,38
MKRUSDT,WBTCBTC,0.38404763277871257,0.304371310331496,0.2335892172284544,1.5938889955395192,0.034803510687726656,0,37
LTCUSDC,TAPUSDT,0.938057391821437,0.4730044593212649,0.23308722317463124,0.7677118419464565,0.0048623443081760595,0,10
CTCUSDT,RSS3USDT,0.26623857024010167,0.34911868495215476,0.23304277497586062,1.5558307105135798,0.026915754160153006,0,66
LTCBTC,PSTAKEUSDT,1.123455087192368,0.16937245327775396,0.23263244775927033,0.561984118748878,0.019277606641757702,0,38
MNTBTC,TRVLUSDT,1.3370722274070947,0.3021364209846549,0.23252378093762452,1.088381962643909,0.015263111300475998,0,19
MVUSDT,PSTAKEUSDT,0.365598148807018,0.46738649592006426,0.23241926161111365,1.892180075411486,0.0401755771919007,0,11
ETHDAI,TRVLUSDT,1.14795759738345,0.24609095409486414,0.23223686687402328,0.909223231642057,0.014537509118793156,0,23
FITFIUSDT,THNUSDT,0.9053063722636824,0.2862649479441919,0.2320542722107643,0.6039474586473266,0.021765280151392515,0,47
PENDLEUSDT,TRVLUSDT,1.3336310007798873,0.2603891009071433,0.23201959660431232,0.9307754789205082,0.015057683236759914,0,29
5IREUSDT,BNBUSDT,0.15639578909418858,0.375854488134042,0.2317705354258733,1.137257922949023,0.043290873217032955,0,18
FMCUSDT,SIDUSUSDT,0.5461682498454817,0.1677627876360168,0.23173970682231912,1.1173688485726223,0.049263319284242754,0,67
MANABTC,OPUSDC,0.3566295581604379,0.27427727391268175,0.23172117404964174,3.2369533522032063,0.04865505180577688,0,13
EGLDUSDT,TRCUSDT,0.8964821891393594,0.36428869559703175,0.2316911128944482,1.8986855124220585,0.016760022918591307,0,24
LUNAUSDT,SUNUSDT,0.1840009940799934,0.366907528924972,0.2316394497023977,1.8893621619430894,0.026700565585859076,0,7
MANABTC,OPUSDT,0.3605239801776944,0.2726668047781921,0.23159882607304896,3.259148143456499,0.04450301645986964,0,15
DOGEUSDC,ORDIUSDT,0.7543916488449122,0.2783673098280347,0.23147279135273047,1.8952565250350628,0.03904905380261166,0,51
FTTUSDT,THNUSDT,0.21616328588881029,0.414169762344996,0.23136996831113438,1.237522337045997,0.04711297253272135,0,39
ENJUSDT,WBTCBTC,0.48292268786138826,0.2763251924161816,0.231305673874937,0.7210467253601608,0.01243222224866057,0,71
MNTUSDT,TRVLUSDT,1.02295543292343,0.2399860688865692,0.23072286469736536,1.6195563874390877,0.029369697794198117,0,25
GENEUSDT,IZIUSDT,0.7993280984817708,0.10847633040178874,0.2306702763376774,0.6644940904707316,0.00972417776476408,0,36
MNTUSDC,TRVLUSDT,1.0197143141394402,0.2383103735725481,0.230479167466677,1.5579053730808499,0.029220714074315413,0,31
MBXUSDT,XDCUSDT,0.5979729083304471,0.2489402331097413,0.2304306992595575,1.411351825874179,0.004656279563104507,0,41
LMWRUSDT,TRVLUSDT,1.1111167359130842,0.4112687793572563,0.2303853057230269,1.2010206239907588,0.028060773273558024,0,11
MVLUSDT,PSTAKEUSDT,0.48294752073810265,0.4801603859860443,0.2302110564458717,0.5929534087325992,0.014134758094525756,0,37
CTCUSDT,THNUSDT,0.978112994230818,0.2756719302348635,0.2301673262936065,0.6443830555535393,0.02185124501631836,0,50
CTCUSDT,SIDUSUSDT,0.45628275160203413,0.2799460263219269,0.23003425134564334,1.202904150081527,0.03587009772582954,0,88
MVLUSDT,PYUSDUSDT,0.4368061874312799,0.3193846431175292,0.22975564361659825,0.5356078899929266,0.0116066143222416,0,43
BABYDOGEUSDT,BNBUSDT,0.7842309263682884,-0.03547622418796235,0.22971942558784403,0.8752325725442922,0.029405963699443496,0,21
MBXUSDT,SFUNDUSDT,0.6758594949507951,0.186596585782565,0.22969105931602646,1.2186353744656033,0.028583144351814332,0,27
CTCUSDT,EGOUSDT,0.4133038824009416,0.3106398540624595,0.22939192908218659,1.5773463232587586,0.03468653548577063,0,26
FITFIUSDT,PYUSDUSDT,0.48886934230755885,0.12047760958635652,0.22934523328505776,0.7158317563478014,0.020417608894770893,0,21
FTTUSDT,SUNUSDT,0.19698153831950294,0.38576980589928084,0.22930601048619054,1.2289834438012128,0.017256372720241612,0,29
LTCUSDT,TRCUSDT,0.5942853077426581,0.4565564968086863,0.229271982862462,1.187004840898725,0.01590730968693939,0,10
LTCEUR,TAPUSDT,0.8458015285759866,0.4919271894931798,0.22923628575630628,0.7626923199051486,0.005988487848204714,0,12
5IREUSDT,SUNUSDT,0.2458426849014748,0.38060462062030304,0.22904272761511704,1.047811090845677,0.03953387915498107,0,28
KAVAUSDT,PSTAKEUSDT,0.5500183708907336,0.35413704368783266,0.22883881344808799,1.2594960810070956,0.03270184207072453,0,19
JTOUSDT,MNTBTC,0.43518502283147764,0.23312499328538822,0.22881382342752118,1.6246666216709331,0.04635124836812175,0,20
FLOKIUSDT,PSTAKEUSDT,0.6565993806458681,0.34899472337568854,0.22872468338488283,0.8987260256720826,0.012419757945425429,0,39
APEUSDT,SFUNDUSDT,0.6786582230390049,0.21646266179960613,0.22820329603495862,1.6711300889756158,0.04543380737776592,0,41
MANABTC,PSTAKEUSDT,0.6510429084163318,0.2604555759691928,0.22807843885825907,1.2807106880936296,0.01633402115431615,0,17
FMCUSDT,MINAUSDT,0.49059173466937084,0.1837209505236196,0.2280690211098444,1.7552280033911216,0.025671956442340806,0,17
MVUSDT,THNUSDT,0.9679581678482929,0.38636505083564576,0.22803063540006982,0.7278414160458714,0.041823412747365334,0,19
FIDAUSDT,SUNUSDT,0.250620921159456,0.32630540030436833,0.2278290244836269,1.7730344402791476,0.027294383293007998,0,9
5IREUSDT,TAPUSDT,0.5457819144159761,0.41158353153225974,0.22778135457469456,0.8966728554866837,0.007804200355991106,0,28
PYTHUSDT,SUNUSDT,0.49904290475160845,0.3002947935941981,0.22771723497732027,1.25170565016574,0.014112686431548732,0,10
ONEUSDT,VPADUSDT,0.4152573102346989,0.36467514858212186,0.22730920269258556,1.3918565527069218,0.043200648484643105,0,87
KCSUSDT,WBTCBTC,0.15379252361881787,0.37125442192348906,0.2271644626808522,1.2233517258187476,0.025684056967836173,0,13
5IREUSDT,ORDIUSDT,0.3034358529402326,0.3625755306743781,0.22702836050980163,1.035118702084586,0.04673925219315138,0,30
FITFIUSDT,XDCUSDT,0.3377396958994963,0.3459271384549394,0.22694220911287977,1.015298377497982,0.016365717904386384,0,39
RPKUSDT,SIDUSUSDT,0.5093290131430703,0.10559790889565486,0.22680534082033935,1.2738842741755005,0.04056010439908953,0,41
BABYDOGEUSDT,TRCUSDT,0.7167802674598954,0.30356125920379556,0.22677244307253636,1.244501873803079,0.032246659136790035,0,56
RPKUSDT,VPADUSDT,0.3449495622638618,0.21448413886944723,0.22663549183293685,1.8857559479961263,0.0012209559796752744,0,23
FITFIUSDT,NEONUSDT,0.36323664518581816,0.28904927917765744,0.2265421673864425,1.0464843575669402,0.03616833755242894,0,62
LTCUSDC,TRCUSDT,0.587504375277394,0.4637508333491477,0.22639737050389536,1.1776963835158603,0.01546078035287314,0,10
RPKUSDT,THNUSDT,1.1201087673475894,0.09514435619485258,0.2263663475517764,0.6058108594031868,0.038892489647680356,0,39
FIDAUSDT,WBTCBTC,0.37934177148084597,0.27431083827521446,0.22630938866618977,1.0840459714703596,0.01962511584720683,0,27
RPKUSDT,TELUSDT,0.5589391509116535,0.11453288735873896,0.22629237158546037,1.060868072033026,0.04826008793068608,0,31
FITFIUSDT,USDCUSDT,0.6242908516771309,0.11781226646982694,0.2262852537687161,0.9865819394705787,0.04771708640973042,0,27
LUNAUSDT,PYUSDUSDT,0.41420397803226683,0.13942631180515175,0.22622990672939094,1.1001773489978273,0.04568492625240439,0,13
MKRUSDT,TRVLUSDT,0.9956882264764345,0.3994300628224173,0.2262185864993382,1.2516382637852266,0.03533058154303462,0,41
MVUSDT,SUNUSDT,0.4105586495113635,0.4311318862878479,0.2260459488815235,1.7391268762090548,0.049091973769208125,0,15
APEUSDC,SFUNDUSDT,0.6756222567985162,0.2168166324350476,0.22592895612552555,1.5273033810009002,0.04729275679535546,0,51
DOTBTC,SUNUSDT,0.23718767616606568,0.3784021611522323,0.22586694623710538,2.3800074652267966,0.03186989938640856,0,17
ENJUSDT,PYUSDUSDT,0.5721832580224012,0.05193053154618328,0.22583742462570797,0.6297882013506434,0.01679474626856386,0,45
PYTHUSDT,PYUSDUSDT,0.6401185442897189,0.0270278176291336,0.22572540359067517,0.6213238168423576,0.02534106858819146,0,24
QTUMUSDT,WBTCBTC,0.37048618374157716,0.3606754412756044,0.22553389610699062,1.143993596201701,0.027317676297259064,0,45
OMGUSDT,PSTAKEUSDT,0.6925985739118071,0.3209425516338434,0.22542432454773684,0.9454579827844237,0.011943529586939661,0,17
PYTHUSDT,WBTCBTC,0.6917845075071796,0.2207907117915751,0.22529256673765788,0.5159211239432453,0.0025198192251966256,0,36
RPKUSDT,XDCUSDT,0.34015564985798313,0.19709004270548,0.2252199270170349,1.9172515743535201,0.0003970335947992183,0,25
MANABTC,VPADUSDT,0.4195361521935063,0.3339314531563435,0.2251645401250818,2.209011422677662,0.0204902214761777,0,15
INTERUSDT,SISUSDT,0.9198621619469474,0.1562090856531211,0.22512789801555444,0.5929676727680318,0.0398773613500485,0,51
FTTUSDT,VPADUSDT,0.2612692171996028,0.3775340357252118,0.22503519857992899,1.0998488797865267,0.04590154683163401,0,48
CTCUSDT,ERTHAUSDT,0.48286998114240626,0.3058316784115537,0.2249713238582615,1.293478257921924,0.020524025041406303,0,52
UMAUSDT,WBTCBTC,0.20294413944877104,0.4286554689434589,0.22486508436990688,1.3944489712459134,0.02853551784227237,0,17
CAKEUSDT,PSTAKEUSDT,0.5198429401676428,0.22926152483222506,0.22485978411908386,1.0128090624351804,0.04481595124524907,0,24
5IREUSDT,PSGUSDT,0.4457435454214619,0.3252860220756824,0.2248545622185014,0.7901499109897001,0.039452960790981005,0,44
BICOUSDT,BNBUSDT,0.17289572499410735,0.39941535965271857,0.2247745496396195,1.6798507589862428,0.0008082325445494222,0,16
CRVUSDT,WBTCBTC,0.3395190782690673,0.33649348470199586,0.22458798198614846,1.4237779382984557,0.03714622523377659,0,29
CRVUSDT,PYUSDUSDT,0.32006184691203116,0.23720123464755452,0.2245234022744294,1.5692855039560005,0.03486212306268283,0,31
ETHEUR,TRVLUSDT,1.1469022963188722,0.26405204128804755,0.22443805299914288,1.0357542071763097,0.022326307288297563,0,33
USTCUSDT,WBTCBTC,0.33809770538096123,0.31378630553125275,0.22424315520334737,1.2650915810422818,0.015313963439679215,0,19
FMCUSDT,VPADUSDT,0.45985734381436827,0.2569566716530576,0.2241169600083089,1.3583576618494249,0.005830967226299089,0,63
FMCUSDT,SFUNDUSDT,0.4808020540169268,0.1995771492381013,0.22406889296983865,1.4269280044341197,0.013263258962003643,0,35
BICOUSDT,SUNUSDT,0.1828778066777305,0.43708545769144797,0.22403568313185115,1.6215244868367595,0.036350344234964714,0,33
KCSUSDT,PYUSDUSDT,0.30603857402098505,0.2117333673080349,0.22387902611058388,1.0243298387322926,0.04388358185322606,0,29
ANKRUSDT,VPADUSDT,0.4860530241005007,0.3599587646842508,0.22355833425324476,1.309210084002731,0.025606042054895077,0,33
LUNAUSDT,VPADUSDT,0.3216702561423069,0.3354281347874684,0.2235434479265929,1.4563518032084766,0.020877710108974764,0,23
DOGEUSDT,NEONUSDT,0.686660271639216,0.20279168166557723,0.22354089995789753,1.1574841414484542,0.041038082472427594,0,12
SOLOUSDT,SUNUSDT,0.3099031279608801,0.35645241943666156,0.22348632289867043,1.2054103264600575,0.020088203607841918,0,27
FMCUSDT,XDCUSDT,0.4360742647734842,0.240062749731861,0.22338080868968607,1.491781245921423,0.0022363398500483984,0,33
ALGOBTC,TRCUSDT,0.9791113822716797,0.33040809480076955,0.22324489536675374,1.0655602776230575,0.010028072203628252,0,20
LTCEUR,TRCUSDT,0.5403756815522285,0.4815877406371364,0.2229727759583039,1.0462813061026977,0.019239396398274558,0,12
SHRAPUSDT,XDCUSDT,0.15744849162775743,0.33184603930053247,0.22273263468426538,2.850293768162731,0.04237588661653801,0,35
ALGOBTC,XDCUSDT,0.7372302107047338,0.24707327763330375,0.22253201146904672,0.9545461403802744,0.014779664701035367,0,35
SSVUSDT,WBTCBTC,0.3385468091223342,0.3275709799802807,0.22249828212427286,1.1253377364545563,0.03931570365643692,0,49
QTUMUSDT,THNUSDT,0.9389342100057702,0.31206448917898677,0.22232986531302887,0.6278867729505758,0.04128375448014513,0,41
KCSUSDT,THNUSDT,0.7688032411997342,0.2749187949368791,0.22231575781461416,0.6805124847707621,0.039634732461089124,0,35
5IREUSDT,CITYUSDT,0.45299229817910563,0.2789904174794851,0.22226019712421774,0.5984389101846467,0.036199165722033126,0,39
ETHUSDC,TRVLUSDT,1.1006411064463146,0.2764470798599709,0.22225727997239542,1.069186767030886,0.022989739981803897,0,35
JSTUSDT,SUNUSDT,0.7744201629223809,0.24191963511982031,0.22201296918893473,0.9465830438011876,0.0382860421880145,0,35
ETHUSDT,TRVLUSDT,1.1041913197438997,0.2766952080475023,0.2219728738441224,1.0631139075865632,0.02268136357539441,0,35
OMGUSDT,VPADUSDT,0.4484846807893694,0.3984434058241462,0.2218859181861558,1.3655481102832385,0.03832055132356208,0,25
RPKUSDT,SFUNDUSDT,0.4283459711163843,0.14352594035461336,0.22165346604936473,1.6763582213096406,0.004702285648880824,0,37
DOGEUSDT,TRCUSDT,0.8832977660034833,0.37585707753551034,0.22150920570888272,1.288190760700554,0.02503933120218389,0,42
SANDBTC,VPADUSDT,0.42612607326389335,0.3180596554614441,0.22149129863835382,1.8295233537514846,0.016196973067858157,0,17
CAKEUSDT,TRCUSDT,0.444521338701124,0.30729076548703316,0.221428210638351,1.061096750638294,0.0018054608644853473,0,38
JEFFUSDT,TRCUSDT,0.4629406888313382,0.4389570428516997,0.22131834051758667,1.6422580723415454,0.011354792229693836,0,26
MEMEUSDT,SUNUSDT,0.3476293864816051,0.3709099404188979,0.2210389825298551,0.8156228555485324,0.008885148753169874,0,34
DYDXUSDT,WBTCBTC,0.5477058601871303,0.2604392744874841,0.2209883676077605,0.7599622405414876,0.02021487279024741,0,19
PRIMEUSDT,TRCUSDT,0.6856224180634886,0.32840328452147904,0.22084428150598817,1.928207047715946,0.04330847337765462,0,32
MVUSDT,MXUSDT,0.42725473806220066,0.3493437229785902,0.2208353341084473,1.3270052587284296,0.04440788539926176,0,17
BELUSDT,WBTCBTC,0.28854722251917414,0.420593055721552,0.22083174164273775,1.5804172820628184,0.022337446648379444,0,17
DOTBTC,WBTCBTC,0.4712563233476913,0.286766611535024,0.22076789642366082,1.0998938611413343,0.011150863305832053,0,23
LUNCUSDT,SUNUSDT,0.16713395744147,0.40885342457916773,0.22067033638733946,1.4736313746530236,0.024638140143922106,0,19
KCSUSDT,TUSDUSDT,0.6517410790422826,0.3208265372481126,0.22062886473273594,0.6756097963371885,0.04924587105822444,0,25
DOGEUSDC,NEONUSDT,0.6839492521117825,0.20882330504273833,0.22055558658867927,1.1160044329293732,0.03904437627242657,0,12
ARUSDT,EGOUSDT,0.10328736955169482,0.4809163312741391,0.22051247684777348,1.5953620608175885,0.03030177365692194,0,22
APEUSDT,NEONUSDT,0.6984587592701509,0.15196836272287648,0.22035066076610935,1.2031990070254257,0.022261928850205316,0,18
SCUSDT,TRVLUSDT,1.0268935583505043,0.3718471264602566,0.2201688241682436,1.1978232204865404,0.04673266761431725,0,9
RVNUSDT,WBTCBTC,0.3995644297778793,0.4041793878442103,0.219957073365976,0.933735906762441,0.014951595538770127,0,25
METHUSDT,TRVLUSDT,1.0891729746870933,0.2723112220686763,0.21984745421117116,0.9928842131085913,0.020296156610831638,0,21
FTTUSDT,WBTCBTC,0.5541520341447979,0.24813926931596292,0.2197047398225127,0.5917326314209816,0.0014136565555618846,0,41
SEIUSDT,VANRYUSDT,0.2566074013608958,0.43723397947179676,0.21966015548493445,1.3003786342714372,0.030185275156047957,0,53
FTTUSDT,PYUSDUSDT,0.5277633127583752,0.0822594663164615,0.21926776803761744,0.6516899858631965,0.011328653404691422,0,55
DGBUSDT,ORDIUSDT,0.7416313627015316,0.2950001433220259,0.21925552575282364,1.7210963312866112,0.04429928055437296,0,51
DOGEUSDC,TRCUSDT,0.8736712207657562,0.38235583460623274,0.21923183127115775,1.2333179166010955,0.02428398606435617,0,42
ARUSDT,BNBUSDT,0.19910698212396746,0.4011104522171332,0.21915476728690972,1.7383753954667678,0.0034809952437167536,0,24
FITFIUSDT,XECUSDT,0.48978391141125505,0.2042799252107349,0.21904120967093516,1.009561138350488,0.01925202284434336,0,71
LUNCUSDT,WBTCBTC,0.2953225642014138,0.3581726218164286,0.21903214033384016,1.0926032683781226,0.009489215663142276,0,19
ALGOBTC,FORTUSDT,1.0509522707987213,0.190552371051168,0.21903129249096712,0.8451517935402519,0.04088607147316898,0,56
CHZUSDC,SUNUSDT,0.4245461670046104,0.38134223531942457,0.2190073724344831,1.5965327199386454,0.037314151968706265,0,23
APEUSDT,XDCUSDT,0.6680170434670193,0.25461105168971565,0.2189690586458627,1.065226483816557,0.0032085664397883363,0,23
FMCUSDT,KCALUSDT,0.5621604589347532,0.16530789602009435,0.2189587780793816,1.298734448734938,0.042503493038703204,0,57
ACSUSDT,PSTAKEUSDT,0.30920842074291605,0.21920552575136448,0.21890334332236713,3.121764530419476,0.04708599477963943,0,7
CHZUSDT,SUNUSDT,0.42602914565409417,0.3823401575358352,0.2187958412829754,1.6243096391358907,0.03934734203812477,0,25
ACSUSDT,BNBUSDT,0.26436721041064426,0.15559553802707884,0.21878502156169205,2.8242518315809892,2.6195530066023928e-06,0,11
JEFFUSDT,SISUSDT,0.46810083172296446,0.361983973752378,0.21872190906446645,1.4157311797112784,0.030918293940320293,0,44
ACHUSDT,THNUSDT,0.5674557274853934,0.37637970480681965,0.21838823956731404,1.1361494075918959,0.04989384529621332,0,23
ACSUSDT,FILUSDT,0.20376471645428004,0.24065622740633144,0.21836670007261472,4.294142415035827,0.008950503202832439,0,21
