,PnL
2024-05-01,0.0
2024-05-02,-54.90939584188163
2024-05-03,-17.369039997458458
2024-05-04,106.82927648536861
2024-05-05,-3.0484899692237377
2024-05-06,29.18787679541856
2024-05-07,75.46759097836912
2024-05-08,-38.142842676490545
2024-05-09,48.58479470387101
2024-05-10,-5.69674314931035
2024-05-11,106.2111783940345
2024-05-12,-46.66493158694357
2024-05-13,4.934270111843944
2024-05-14,26.073192343115807
2024-05-15,32.85199777642265
2024-05-16,1.299568247050047
2024-05-17,-11.692846527323127
2024-05-18,6.6186219695955515
2024-05-19,-418.1169671714306
2024-05-20,-224.16029964014888
2024-05-21,58.514372853562236
2024-05-22,-1.777784391772002
2024-05-23,26.606750673614442
2024-05-24,12.700280547142029
2024-05-25,11.402185674756765
2024-05-26,-68.96240610815585
2024-05-27,19.11015677265823
2024-05-28,147.22521045804024
2024-05-29,22.851280929986387
2024-05-30,-61.38676811661571
2024-05-31,1.0643835067749023
2024-06-01,-66.6029562484473
2024-06-02,-44.905886214226484
2024-06-03,27.640872353687882
2024-06-04,59.44508356601
2024-06-05,113.35518753901124
2024-06-06,16.502390824258327
2024-06-07,-168.94559797085822
2024-06-08,9.176965519785881
2024-06-09,4.079753741621971
2024-06-10,0.45990116707980633
2024-06-11,7.742884121835232
2024-06-12,22.200360264629126
2024-06-13,7.379258638247848
2024-06-14,17.21650354762096
2024-06-15,8.983794138766825
2024-06-16,-37.78781851212261
2024-06-17,-15.707338724285364
2024-06-18,7.700358530506492
2024-06-19,9.95295893214643
2024-06-20,-2.7470214273780584
2024-06-21,-4.658431267365813
2024-06-22,0.689636193215847
2024-06-23,17.19593688379973
2024-06-24,4.1174653600901365
2024-06-25,3.5132092777639627
2024-06-26,-1.453188817948103
2024-06-27,-4.890838773921132
2024-06-28,1.8341591954231262
2024-06-29,5.2505075223743916
2024-06-30,-0.23779118061065674
2024-07-01,122.36509038880467
2024-07-02,90.61458079144359
2024-07-03,237.1454400997609
2024-07-04,13.420847952365875
2024-07-05,71.83775821886957
2024-07-06,-11.644303359556943
2024-07-07,-1.8986826185137033
2024-07-08,-10.265239148400724
2024-07-09,12.247784941457212
2024-07-10,27.80454982072115
2024-07-11,-25.67338265039143
2024-07-12,37.88538998947479
2024-07-13,26.74018033593893
2024-07-14,22.09163639228791
2024-07-15,-0.5268614906817675
2024-07-16,48.626458056271076
2024-07-17,14.826084954664111
2024-07-18,63.65052186511457
2024-07-19,31.248415522277355
2024-07-20,128.00144396629184
2024-07-21,4.0930813199374825
2024-07-22,25.67419153265655
2024-07-23,290.43732807040215
2024-07-24,579.4611614327878
2024-07-25,-32.536592359887436
2024-07-26,10.577897219453007
2024-07-27,28.694497525691986
2024-07-28,-34.51846584863961
2024-07-29,75.77175143174827
2024-07-30,0.0
2024-07-31,148.94897958636284
2024-08-01,33.30309762619436
2024-08-02,41.726174265146255
2024-08-03,-1.996575178578496
2024-08-04,9.986201949417591
2024-08-05,-1.287402331829071
2024-08-06,-11.092031717300415
2024-08-07,-3.883252404630184
2024-08-08,5.614171199500561
2024-08-09,29.658102490007877
2024-08-10,-6.775564134120941
2024-08-11,8.874859500676394
2024-08-12,13.779240898787975
2024-08-13,6.9527978375554085
2024-08-14,10.959009274840355
2024-08-15,-5.429524719715118
2024-08-16,93.73741133511066
2024-08-17,-3.545623566955328
2024-08-18,-0.796083964407444
2024-08-19,-13.954472687095404
2024-08-20,-28.156258057802916
2024-08-21,-21.81790491193533
2024-08-22,32.42098939605057
2024-08-23,-119.71511687338352
2024-08-24,14.263739172369242
2024-08-25,242.9378978535533
2024-08-26,-48.148143883794546
2024-08-27,20.04177887737751
2024-08-28,-43.43101540952921
2024-08-29,0.21609142422676086
2024-08-30,259.4088768661022
2024-08-31,632.4190360084176
2024-09-01,-52.535195372998714
2024-09-02,-473.037505351007
2024-09-03,334.3076169118285
2024-09-04,-51.374947376549244
2024-09-05,256.4234270006418
2024-09-06,263.4371281117201
2024-09-07,60.2843207642436
2024-09-08,16.76265273243189
2024-09-09,-177.49243988841772
2024-09-10,-20.031026862561703
2024-09-11,-281.1182796806097
2024-09-12,300.8917243555188
2024-09-13,-257.38083250820637
2024-09-14,289.6787042543292
2024-09-15,-341.2285481914878
2024-09-16,160.2997621372342
2024-09-17,69.59409832954407
2024-09-18,-73.7586272507906
2024-09-19,171.07567657344043
2024-09-20,58.452692821621895
2024-09-21,49.353469997644424
2024-09-22,140.9166419506073
2024-09-23,102.61459565162659
2024-09-24,363.471586689353
2024-09-25,114.4458335712552
2024-09-26,46.42852187529206
2024-09-27,8.723926097154617
2024-09-28,0.0
